ID_0,est,se
ALB,0,0
ARG,0.21599999999999997,0.4117201883725323
AUT,0,0
BEL,0,0
BGR,0,0
CHN,0,0
DEU,0,0
DOM,0.041000000000000036,0.19838941090279583
ESP,0,0
FRA,0,0
GRC,0,0
GTM,0.996,0.06315051850925682
HND,0.010000000000000009,0.0995485304256668
HRV,0,0
HUN,0,0
IND,0.15058000000000005,0.14959110872108392
ITA,0,0
MEX,0.4210425255790079,0.2367182278899798
NLD,0,0
PAK,0.780976,0.4992246240173107
PER,0.49305600000000005,0.4530576798391804
ROU,0,0
SRB,0,0
SVN,0,0
TUR,0,0
USA,0.009000000000000008,0.09448771310560929
VEN,0.038000000000000034,0.19129190414806527
XKO,0,0
