COUNTRY,ID_0,year,month,est,se
Albania,ALB,2017,09,0,0
Argentina,ARG,2017,09,0.154,0.3611293596682696
Austria,AUT,2017,09,0,0
Belgium,BEL,2017,09,0,0
Bulgaria,BGR,2017,09,0,0
China,CHN,2017,09,0,0
Croatia,HRV,2017,09,0,0
Dominican Republic,DOM,2017,09,0.153,0.3601676286407771
France,FRA,2017,09,0,0
Germany,DEU,2017,09,0,0
Greece,GRC,2017,09,0,0
Guatemala,GTM,2017,09,0.153,0.3601676286407771
Honduras,HND,2017,09,0.161,0.3677148544921924
Hungary,HUN,2017,09,0,0
India,IND,2017,09,0.138,0.4159257211511741
Italy,ITA,2017,09,0,0
Kosovo,XKO,2017,09,0,0
Mexico,MEX,2017,09,0.496,1.4889197575947353
Netherlands,NLD,2017,09,0,0
Pakistan,PAK,2017,09,0.011,0.10435463521037236
Peru,PER,2017,09,0.364,0.4813893805805605
Romania,ROU,2017,09,0,0
Serbia,SRB,2017,09,0,0
Slovenia,SVN,2017,09,0,0
Spain,ESP,2017,09,0,0
Turkey,TUR,2017,09,0,0
United States,USA,2017,09,0.003,0.05471740119919799
Venezuela,VEN,2017,09,0.014,0.11754921445002436
