COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,07,3.14,1.6648595302177414
Argentina,ARG,2021,07,2.456,2.012236233312763
Austria,AUT,2021,07,2.072,0.30660084676896054
Belgium,BEL,2021,07,0,0
Bosnia and Herzegovina,BIH,2021,07,0.6819999999999999,1.112714463310242
Brazil,BRA,2021,07,0.41400000000000003,0.6036769280369125
Bulgaria,BGR,2021,07,17.929,8.065024090257946
China,CHN,2021,07,2.112,2.5981923224712205
Colombia,COL,2021,07,0.247,0.43148253403489834
Croatia,HRV,2021,07,9.675,3.5211461200617924
Fiji,FJI,2021,07,0.121,0.3262904618058356
France,FRA,2021,07,15.815,4.106827405073546
Germany,DEU,2021,07,0.65,0.47720826452161086
Greece,GRC,2021,07,1.3800000000000001,1.0886005398967398
Guatemala,GTM,2021,07,1.3940000000000001,0.7892246229748583
Honduras,HND,2021,07,0.619,0.4858755757136544
Hungary,HUN,2021,07,13.685,8.247841414166869
India,IND,2021,07,0.061,0.3829514513368078
Italy,ITA,2021,07,61.57,23.757810244922325
Kosovo,XKO,2021,07,0.964,0.18638331132035063
Mexico,MEX,2021,07,0.16999999999999998,0.5528670588582567
Myanmar,MMR,2021,07,0.465,0.4990230696310783
Netherlands,NLD,2021,07,0.5650000000000001,0.5596638874385592
Pakistan,PAK,2021,07,0,0
Palestine,PSE,2021,07,0.037,0.1888562063228706
Panama,PAN,2021,07,0.004,0.06315051850925682
Peru,PER,2021,07,0.013,0.11333068359382575
Portugal,PRT,2021,07,3.858,0.5852431318338343
Romania,ROU,2021,07,0.693,1.0373758330650509
Serbia,SRB,2021,07,4.666,2.831407096748803
Slovenia,SVN,2021,07,3.44,1.6057196110241907
Solomon Islands,SLB,2021,07,0.499,0.500249187155011
South Africa,ZAF,2021,07,0.358,0.4796520260210167
South Korea,KOR,2021,07,1.1,0.358828373516021
Spain,ESP,2021,07,20.209,2.9439736649605504
Sri Lanka,LKA,2021,07,0.289,0.45352473436923446
Switzerland,CHE,2021,07,2.103,0.8702559721349096
Thailand,THA,2021,07,0.513,0.5000810745080052
Turkey,TUR,2021,07,3.799,5.590265882322736
United States,USA,2021,07,4.284,2.3533176447264816
