COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,06,7.263,3.5689879819096193
Algeria,DZA,2021,06,44.72,29.681267009368213
Angola,AGO,2021,06,0.7010000000000001,1.253142066738099
Argentina,ARG,2021,06,6.394,5.954654383722858
Australia,AUS,2021,06,1.473,1.2271014167595218
Austria,AUT,2021,06,22.938,13.577192018461567
Azerbaijan,AZE,2021,06,7.295,3.7421440877897667
Bangladesh,BGD,2021,06,3.841,3.6763178904874674
Belarus,BLR,2021,06,2.613,1.8874125528417869
Belgium,BEL,2021,06,8.518,1.8650169787815836
Bolivia,BOL,2021,06,2.399,2.156562826141802
Bosnia and Herzegovina,BIH,2021,06,3.138,1.2651963677140325
Botswana,BWA,2021,06,0.247,0.43148253403489834
Brazil,BRA,2021,06,35.15,36.47214195303291
Brunei,BRN,2021,06,0.18,0.38437969216355294
Bulgaria,BGR,2021,06,27.241,12.694021695692406
Burkina Faso,BFA,2021,06,0.01,0.0995485304256668
Burundi,BDI,2021,06,0.416,0.49314012936201734
Cambodia,KHM,2021,06,0.624,1.2132954226906252
Cameroon,CMR,2021,06,0.004,0.06315051850925682
Canada,CAN,2021,06,0.8360000000000001,0.5662993226663712
Chad,TCD,2021,06,0.295,0.4562709536921928
Chile,CHL,2021,06,4.222,2.888306155724212
China,CHN,2021,06,0.619,0.6409213057749028
Colombia,COL,2021,06,12.436,11.281026926979948
Costa Rica,CRI,2021,06,1.47,2.0183052632051046
Côte d'Ivoire,CIV,2021,06,0.818,0.3860375953518323
Croatia,HRV,2021,06,28.171,9.342108612166918
Czechia,CZE,2021,06,8.704,5.2236975236656615
Democratic Republic of the Congo,COD,2021,06,0.501,1.0979275127028358
Denmark,DNK,2021,06,2.456,1.6066390653543035
Djibouti,DJI,2021,06,0.001,0.03162277660168379
Dominican Republic,DOM,2021,06,1.8539999999999999,1.5441998754102302
Ecuador,ECU,2021,06,5.356,3.962980721055813
Egypt,EGY,2021,06,17.25,14.123441666073541
El Salvador,SLV,2021,06,2.106,2.616747644077994
Equatorial Guinea,GNQ,2021,06,0.461,0.4987261049190505
Estonia,EST,2021,06,3.982,0.13301764429463367
Ethiopia,ETH,2021,06,1.815,1.6703640998464988
Faroe Islands,FRO,2021,06,0.757,0.4291097005838194
Fiji,FJI,2021,06,0.455,0.4982200550190881
Finland,FIN,2021,06,5.222,2.03007646799373
France,FRA,2021,06,47.522,14.622617632424618
Gabon,GAB,2021,06,0.318,0.4659324984298618
Gambia,GMB,2021,06,0.267,0.4426137220047599
Georgia,GEO,2021,06,3.606,2.6499908289201057
Germany,DEU,2021,06,56.36,31.99706435712083
Ghana,GHA,2021,06,0.994,1.4815283986137966
Greece,GRC,2021,06,5.641,2.973788835780131
Guadeloupe,GLP,2021,06,0.61,0.4879939939570344
