COUNTRY,ID_0,year,month,est,se
Albania,ALB,2014,11,5.924,2.9136269790688254
Austria,AUT,2014,11,3.966,5.382778811426086
Belgium,BEL,2014,11,1.8940000000000001,1.3760087596901434
Bulgaria,BGR,2014,11,0,0
China,CHN,2014,11,0,0
Colombia,COL,2014,11,0,0
Croatia,HRV,2014,11,2.152,2.193435132199368
Czechia,CZE,2014,11,1.146,0.8278497705584789
Denmark,DNK,2014,11,0.955,0.20740785428237288
France,FRA,2014,11,3.632,4.0709693220899315
Gambia,GMB,2014,11,0.548,0.4979396991041626
Germany,DEU,2014,11,8.09,5.02521382604315
Greece,GRC,2014,11,0.127,0.3917520689909595
Hungary,HUN,2014,11,4.781,5.820086840023491
India,IND,2014,11,0.396,0.7704154780778556
Iran,IRN,2014,11,0.184,0.387678080750375
Italy,ITA,2014,11,28.335,29.893867285097908
Kosovo,XKO,2014,11,1.705,1.3297182394462321
Mexico,MEX,2014,11,0.194,0.5648675733510606
Morocco,MAR,2014,11,0.349,0.5306486047470538
Netherlands,NLD,2014,11,176.154,122.70796381080497
Pakistan,PAK,2014,11,0,0
Peru,PER,2014,11,0.028,0.16505527329729044
Poland,POL,2014,11,0.119,0.32395052700056526
Portugal,PRT,2014,11,3.576,2.1535320156735427
Romania,ROU,2014,11,0.833,0.45214250428402614
Russia,RUS,2014,11,0.304,0.4602127723084137
Saudi Arabia,SAU,2014,11,0.057,0.2319586273558386
Serbia,SRB,2014,11,0.816,1.3023844220716656
Slovenia,SVN,2014,11,0.002,0.04469897088298564
Spain,ESP,2014,11,1.468,2.84362036233652
Switzerland,CHE,2014,11,2.046,1.813867513229161
Turkey,TUR,2014,11,5.345,3.421361512175747
United Arab Emirates,ARE,2014,11,0.302,0.45935499018406994
United Kingdom,GBR,2014,11,0.112,0.3155242550986462
United States,USA,2014,11,0,0
Uzbekistan,UZB,2014,11,0.799,0.40094857495663927
