COUNTRY,ID_0,year,month,est,se
Albania,ALB,2020,03,0,0
Austria,AUT,2020,03,9.161,10.158662886349504
Belgium,BEL,2020,03,0,0
Bulgaria,BGR,2020,03,0,0
China,CHN,2020,03,0,0
Croatia,HRV,2020,03,0.36,0.48024018015013137
France,FRA,2020,03,0,0
Germany,DEU,2020,03,0.951,0.8752486993359802
Greece,GRC,2020,03,0,0
Hungary,HUN,2020,03,1.5919999999999999,3.1132178604742866
India,IND,2020,03,0,0
Italy,ITA,2020,03,0.003,0.05471740119919799
Kosovo,XKO,2020,03,0,0
Netherlands,NLD,2020,03,0,0
Pakistan,PAK,2020,03,0,0
Peru,PER,2020,03,0,0
Romania,ROU,2020,03,0,0
Serbia,SRB,2020,03,0,0
Slovenia,SVN,2020,03,0,0
Spain,ESP,2020,03,0.04,0.37045503779080735
Switzerland,CHE,2020,03,2.504,1.837279005840698
Turkey,TUR,2020,03,0,0
United States,USA,2020,03,0,0
