COUNTRY,ID_0,year,month,est,se
Albania,ALB,2014,06,0,0
Austria,AUT,2014,06,0,0
Belgium,BEL,2014,06,0,0
Bulgaria,BGR,2014,06,0,0
China,CHN,2014,06,0,0
Croatia,HRV,2014,06,0,0
France,FRA,2014,06,0,0
Germany,DEU,2014,06,0,0
Greece,GRC,2014,06,0,0
Hungary,HUN,2014,06,2.758,7.462485275869872
India,IND,2014,06,0,0
Italy,ITA,2014,06,0.318,1.0823511836474187
Kosovo,XKO,2014,06,0,0
Netherlands,NLD,2014,06,0,0
Pakistan,PAK,2014,06,0,0
Peru,PER,2014,06,0,0
Romania,ROU,2014,06,0,0
Serbia,SRB,2014,06,0,0
Slovenia,SVN,2014,06,0,0
Spain,ESP,2014,06,0,0
Turkey,TUR,2014,06,0,0
United States,USA,2014,06,0,0
