NAME_1,year,month,est,se
Abruzzo,2014,06,0.974,1.3508713604020337
Aegean,2014,06,0.105,0.3067068128833611
Andalucía,2014,06,0.6589999999999999,0.9788192591820981
Antioquia,2014,06,0.477,0.4997206426802086
Apulia,2014,06,1.308,1.57180795435886
Aragón,2014,06,0.005,0.09477329511094061
Artvin,2014,06,0.528,0.499465179432426
Attica,2014,06,0.016,0.12553788177183714
Auvergne-Rhône-Alpes,2014,06,1.686,2.2686723170344565
Baden-Württemberg,2014,06,0.77,0.4210430824479572
Balikesir,2014,06,0.694,0.7930001955698371
Baranya,2014,06,0.15100000000000002,0.45840324853499154
Basilicata,2014,06,0.234,0.4235840216809688
Berlin,2014,06,0,0
Blagoevgrad,2014,06,0.708,0.45490981847278583
Borsod-Abaúj-Zemplén,2014,06,0,0
Bucharest,2014,06,0.011,0.10435463521037236
Budapest,2014,06,0.069,0.2535809600567505
Buenos Aires,2014,06,1.342,1.2274134629338995
Burgas,2014,06,1.2160000000000002,0.9656614190815122
Buzău,2014,06,0.588,0.4924413655436538
Calabria,2014,06,1.124,1.3887787879919138
California,2014,06,0,0
Campania,2014,06,1.007,1.4470239589638698
Cantabria,2014,06,0,0
Castilla y León,2014,06,0,0
Castilla-La Mancha,2014,06,0.005,0.09941637208218362
Cataluña,2014,06,2.8649999999999998,0.5524355261526175
Central,2014,06,0.143,0.3502480173729377
Ceuta y Melilla,2014,06,0,0
Comunidad de Madrid,2014,06,0.007,0.08341437500789632
Comunidad Foral de Navarra,2014,06,0.013,0.11333068359382575
Comunidad Valenciana,2014,06,1.182,1.3206000997970744
Corse,2014,06,0.575,0.8904518042276326
Csongrád,2014,06,0.076,0.26513071171460745
Daegu,2014,06,0.586,0.4927949338688932
District of Columbia,2014,06,0.012,0.10893974420691407
Dolj,2014,06,0.22,0.4144535821678608
Drenthe,2014,06,0,0
Emilia-Romagna,2014,06,2.457,3.3030603485373646
Extremadura,2014,06,0,0
Faro,2014,06,2.146,1.9457410262315502
Fier,2014,06,0.137,0.3440194025768741
Flevoland,2014,06,0,0
Florida,2014,06,0.8009999999999999,1.2189399342522935
Friesland,2014,06,0,0
Friuli-Venezia Giulia,2014,06,1.522,1.9288087993772614
Galicia,2014,06,0,0
Gelderland,2014,06,0,0
Grad Beograd,2014,06,0.632,0.6690721321676774
Grad Sofiya,2014,06,0.005,0.07056897321046962
Grad Zagreb,2014,06,0,0
Groningen,2014,06,0,0
Guatemala,2014,06,0.446,0.4973241712719495
Heves,2014,06,0.157,0.3639828065767441
Hong Kong,2014,06,2.298,2.653160455529055
Honiara,2014,06,0.678,0.46747677432631296
IJsselmeer,2014,06,0,0
Indiana,2014,06,0.485,0.5000250243988045
Islas Baleares,2014,06,0.486,0.5000540511325291
Islas Canarias,2014,06,0,0
Istanbul,2014,06,2.103,3.6469301032206385
Istarska,2014,06,1.27,0.9614545419034894
Izmir,2014,06,1.561,1.4825373823735697
Jeollabuk-do,2014,06,0.124,0.32974646735443996
Južno-Bački,2014,06,0.062,0.2412762197445372
Kandy,2014,06,0.282,0.45019848809017415
Kocaeli,2014,06,0.618,0.8778838259567463
