NAME_1,year,month,est,se
'Asir,2016,08,0.097,0.296105857217784
Aargau,2016,08,0.479,0.499808772240753
Abia,2016,08,0.154,0.3611293596682696
Abidjan,2016,08,0.25,0.4332293707583636
Abruzzo,2016,08,1.014,1.476040604430057
Absheron,2016,08,1.302,1.4850536414618574
Abu Dhabi,2016,08,0.6180000000000001,0.9224887865400995
Aceh,2016,08,0.258,0.43775292989039793
Ad Daqahliyah,2016,08,0.889,1.3700522913690705
Adamawa,2016,08,0.277,0.4477404063421923
Adana,2016,08,1.181,1.4387515745461292
Addis Abeba,2016,08,0.443,0.49698893146427114
Adiyaman,2016,08,0.626,0.48410573055723927
Adrar,2016,08,0.195,0.3963989557656934
Adygey,2016,08,0.693,0.4614801880514092
Aegean,2016,08,0.622,0.8156743827104964
Afyon,2016,08,0.222,0.4157990967870047
Agadez,2016,08,0.429,0.8184110691346576
Aguascalientes,2016,08,0,0
Agusan del Norte,2016,08,0.309,0.4623123757079544
Aïn Defla,2016,08,1.6320000000000001,1.9185291466020158
Aïn Témouchent,2016,08,0.343,0.4749490252401584
Ajaria,2016,08,0.399,0.48993779098885504
Ajman,2016,08,0.436,0.8249028816871216
Al Bahr al Ahmar,2016,08,0.826,0.9354047338495729
Al Fayyum,2016,08,0.47,0.49934892545128134
Al Gharbiyah,2016,08,0.429,0.49518098126261295
Al Hudud ash Shamaliyah,2016,08,0.719,0.9526645829900018
Al Iskandariyah,2016,08,0.986,1.3292887177216837
Al Isma`iliyah,2016,08,1.832,2.3372272267998175
Al Jizah,2016,08,0.662,1.209404011519368
Al Madinah,2016,08,0.9530000000000001,1.3901374439962604
Al Minufiyah,2016,08,0.969,1.302350438406932
Al Minya,2016,08,0.384,0.48660125439704816
Al Qahirah,2016,08,1.952,2.3680656109741083
Al Qalyubiyah,2016,08,0.133,0.3397446488562056
Al Wusta,2016,08,0.114,0.31797028965786267
Al-Anbar,2016,08,0.51,0.5001501276118503
Al-Basrah,2016,08,0.251,0.43380547159664457
Alagoas,2016,08,0.19,0.603686878463156
Alajuela,2016,08,0.714,1.2237771385481846
Alaska,2016,08,0.709,0.45445079549443584
Alba,2016,08,0.576,0.494437527366672
Alborz,2016,08,0.63,0.8063312964954281
Aleppo,2016,08,0.215,0.4110279113928201
Alger,2016,08,5.769,7.046224424379454
Almaty,2016,08,0.022,0.1467567291047928
Alta Verapaz,2016,08,0.168,0.3740533597174552
Alto Paraná,2016,08,0.051,0.22010780869257557
Amazonas,2016,08,0.716,1.1998871639754067
Amman,2016,08,0.939,1.6420686402878575
Ampara,2016,08,0.137,0.3440194025768741
Amur,2016,08,0.501,0.500249187155011
Anambra,2016,08,0.25,0.4332293707583636
Andalucía,2016,08,0.018000000000000002,0.24903922673580542
Andhra Pradesh,2016,08,1.393,3.17505627241758
Ang Thong,2016,08,0.277,0.4477404063421923
Ankara,2016,08,3.005,2.930167161131049
Annaba,2016,08,0.763,0.9601176078913125
Antalya,2016,08,1.038,1.7399561806201698
Antananarivo,2016,08,0.486,0.8582162308287734
Antioquia,2016,08,0.267,0.5450190548433683
Antsiranana,2016,08,0.248,0.432067914433232
Anzoátegui,2016,08,0.14,0.3471606552023436
Apulia,2016,08,2.549,2.9593931433431386
Aqaba,2016,08,0.283,0.4506818324651152
Aqmola,2016,08,0.48,0.4998498272980094
Aqtöbe,2016,08,0.475,0.499624483612067
Ar Riyad,2016,08,0.005,0.07056897321046962
Arad,2016,08,1.008,0.990894863277473
Aragón,2016,08,0.02,0.19806854956154646
Aragua,2016,08,0.285,0.4516403203645341
Aran,2016,08,2.036,2.3106394133104784
Araucanía,2016,08,0,0
Arbil,2016,08,0.253,0.4349484799147827
Ariana,2016,08,0.382,0.48611964814468495
Arica y Parinacota,2016,08,0.205,0.403903624814309
Arizona,2016,08,0.007,0.08341437500789632
Arkhangel'sk,2016,08,1.888,1.4440610835936107
Artvin,2016,08,1.057,0.9987606265843889
Arunachal Pradesh,2016,08,0.367,0.48222768848702946
Arusha,2016,08,0.196,0.3971671458488753
As-Sulaymaniyah,2016,08,0.352,0.47783294604320065
Aşgabat,2016,08,0.161,0.3677148544921924
Ash Sharqiyah,2016,08,0.79,1.3180265306916548
Ash Sharqiyah North,2016,08,0.324,0.4682341756463781
Ash Sharqiyah South,2016,08,0.159,0.36585906146062974
Ash-Sharqīyah,2016,08,0.749,1.2476576695083237
Ashanti,2016,08,0.2,0.40020015012510946
Assam,2016,08,1.841,2.319095095326038
Asunción,2016,08,0,0
Aswan,2016,08,0.454,0.4981286301068551
Asyut,2016,08,0.537,0.8781887250165976
Atacama,2016,08,0.231,0.42168331341993703
Atlántico,2016,08,0.004,0.06315051850925682
Atlántico Norte,2016,08,0.223,0.4164666186436128
Atlántico Sur,2016,08,0.309,0.4623123757079544
Attica,2016,08,0.026,0.15921478998305827
Auckland,2016,08,0.165,0.37136627864268035
Auvergne-Rhône-Alpes,2016,08,2.527,3.4544095431209247
