NAME_1,year,month,est,se
Abruzzo,2015,03,0.492,0.6336804511565218
Adiyaman,2015,03,0.629,0.4833141758655467
Aegean,2015,03,0.129,0.47802677816519973
Andalucía,2015,03,0.003,0.07632174748466944
Andhra Pradesh,2015,03,0.005,0.07056897321046962
Apulia,2015,03,0.923,1.7212004308565687
Aragón,2015,03,0,0
Atlántico,2015,03,0.221,0.41512809027013736
Attica,2015,03,0,0
Auvergne-Rhône-Alpes,2015,03,0.006,0.07726558075864033
Aydin,2015,03,0.398,0.4897303705467283
Bács-Kiskun,2015,03,0.567,0.4957385972029581
Baden-Württemberg,2015,03,1.725,2.1729272148988508
Banjul,2015,03,0.833,0.3731624984510773
Baranya,2015,03,0.478,0.5884777308059137
Basilicata,2015,03,0.087,0.2819760814510878
Berat,2015,03,0.973,0.162164414398774
Berlin,2015,03,0,0
Bern,2015,03,1.228,0.9739315165992632
Bihar,2015,03,0.011,0.10435463521037236
Borsod-Abaúj-Zemplén,2015,03,2.847,0.6272878288467478
Bourgogne-Franche-Comté,2015,03,0.902,0.9730339204093824
Bretagne,2015,03,0.361,0.4805308625987616
Bruxelles,2015,03,0.593,0.49152069396170145
Bucharest,2015,03,0,0
Budapest,2015,03,0.001,0.03162277660168379
Burgas,2015,03,0,0
Buzău,2015,03,0.62,0.5410789411543506
Calabria,2015,03,0,0
California,2015,03,0,0
Campania,2015,03,0.02,0.16821581323846724
Cantabria,2015,03,0,0
Castilla y León,2015,03,0.596,0.6924166471019323
Castilla-La Mancha,2015,03,0,0
Cataluña,2015,03,0.001,0.03162277660168379
Ceuta y Melilla,2015,03,0.928,0.2586172517116422
City of St. Petersburg,2015,03,0.004,0.06315051850925682
Comunidad de Madrid,2015,03,0,0
Comunidad Foral de Navarra,2015,03,0,0
Comunidad Valenciana,2015,03,0.001,0.03162277660168379
Csongrád,2015,03,0.046,0.28334391942847986
Drenthe,2015,03,3.0900000000000003,4.172147130504302
Dubai,2015,03,0.304,0.4602127723084137
Durrës,2015,03,0.422,0.4941256521980621
Emilia-Romagna,2015,03,0.704,1.557492086994774
England,2015,03,0.049,0.21597603025716916
Extremadura,2015,03,0,0
Faro,2015,03,0.971,0.1678904023081343
Fejér,2015,03,0.005,0.07056897321046962
Fier,2015,03,0.023,0.1499783100768024
Flevoland,2015,03,1.063,1.3710803143099892
Friesland,2015,03,5.952,6.2598749276120795
Friuli-Venezia Giulia,2015,03,0.86,1.1485265938804228
Galicia,2015,03,0.029,0.1678904023081343
Gelderland,2015,03,22.785,16.499728606407256
Grad Beograd,2015,03,0.791,0.49513456338042866
Grad Sofiya,2015,03,0.01,0.0995485304256668
Grad Zagreb,2015,03,0,0
