ID_1,est,se
ALB.11_1,0,0
ALB.5_1,0,0
ARG.12_1,0,0
AUT.1_1,1.2309999999999999,0.5778343493399873
AUT.2_1,0.821,1.433047260872979
AUT.3_1,0.551,0.9970020965599492
AUT.4_1,1.976,2.784302656661028
AUT.5_1,0.021,0.2009635894579207
AUT.6_1,1.262,0.9833359476668152
AUT.7_1,0.636,0.6501869279536739
AUT.8_1,0.418,0.5912575681479542
AUT.9_1,0.014,0.11754921445002436
BEL.2_1,0,0
BGR.15_1,0,0
BGR.2_1,0,0
BGR.24_1,0,0
BGR.5_1,0,0
CHE.19_1,0.667,0.4715223571935198
CHE.21_1,0.334,0.4718756898449704
CHE.25_1,0.935,0.24664921616708177
CHE.26_1,0.981,0.13659303663678343
CHN.HKG,0,0
DEU.11_1,0.009,0.09448771310560929
DEU.2_1,1.103,0.5454855033955339
DEU.3_1,0,0
ESP.1_1,0,0
ESP.10_1,0,0
ESP.11_1,0,0
ESP.12_1,0,0
ESP.13_1,0,0
ESP.14_1,0,0
ESP.15_1,0,0
ESP.16_1,0.022,0.18476902342677395
ESP.17_1,0.894,0.30799165387857325
ESP.18_1,0,0
ESP.2_1,0,0
ESP.3_1,0.093,0.290577761426155
ESP.4_1,0,0
ESP.5_1,0,0
ESP.6_1,0,0
ESP.7_1,0,0
ESP.8_1,0,0
ESP.9_1,0,0
FRA.10_1,0,0
FRA.11_1,0,0
FRA.13_1,0,0
FRA.9_1,0,0
GRC.1_1,0,0
GRC.3_1,0,0
GRC.6_1,0,0
HRV.20_1,0,0
HRV.4_1,0,0
HRV.8_1,0.283,0.4506818324651152
HUN.1_1,0.004,0.06315051850925682
HUN.10_1,0.508,0.5318239373372434
HUN.11_1,0,0
HUN.12_1,0.017,0.16631225054351362
HUN.14_1,0.5790000000000001,1.099880355644961
HUN.15_1,0,0
HUN.18_1,0.094,0.29197474077263813
HUN.19_1,0,0
HUN.2_1,0.255,0.4360793106364542
HUN.20_1,0,0
HUN.4_1,0.032,0.17608806605504818
HUN.5_1,0.005,0.07056897321046962
HUN.6_1,0,0
HUN.8_1,0.029,0.1678904023081343
HUN.9_1,0.58,0.49380547166252
IND.20_1,0,0
IND.28_1,0,0
IND.32_1,0,0
ITA.1_1,0,0
ITA.10_1,0,0
ITA.11_1,0,0
ITA.12_1,0,0
ITA.13_1,0,0
ITA.14_1,0,0
ITA.15_1,0,0
ITA.16_1,0,0
ITA.17_1,0,0
ITA.18_1,0,0
ITA.19_1,0,0
ITA.2_1,0,0
ITA.20_1,0,0
ITA.3_1,0,0
ITA.4_1,0,0
ITA.5_1,0,0
ITA.6_1,0,0
ITA.7_1,0.49,0.5001501276118503
ITA.8_1,0,0
ITA.9_1,0,0
NLD.1_1,0,0
NLD.10_1,0,0
NLD.11_1,0,0
NLD.12_1,0,0
NLD.13_1,0,0
NLD.2_1,0,0
NLD.3_1,0,0
NLD.4_1,0,0
NLD.5_1,0,0
NLD.6_1,0,0
NLD.7_1,0.005,0.07056897321046962
NLD.8_1,0,0
NLD.9_1,0,0
PAK.7_1,0,0
PER.13_1,0,0
ROU.10_1,0,0
ROU.14_1,0,0
SLV.5_1,0,0
SRB.3_1,0,0
SRB.5_1,0.117,0.32158111638343195
SVN.6_1,0,0
SVN.7_1,0,0
TUR.40_1,0,0
TUR.52_1,0,0
TUR.66_1,0,0
USA.5_1,0,0
XKO.6_1,0,0
NA,0,0
