NAME_1,year,month,est,se
Abruzzo,2019,04,0,0
Aegean,2019,04,0,0
Andalucía,2019,04,0,0
Apulia,2019,04,0,0
Aragón,2019,04,0,0
Attica,2019,04,0,0
Bács-Kiskun,2019,04,0.003,0.05471740119919799
Baranya,2019,04,0.205,0.403903624814309
Basilicata,2019,04,0,0
Bayern,2019,04,0.742,0.43775292989039793
Berlin,2019,04,0,0
Borsod-Abaúj-Zemplén,2019,04,0.358,0.4796520260210167
Bucharest,2019,04,0,0
Budapest,2019,04,0.003,0.05471740119919799
Burgas,2019,04,0,0
Burgenland,2019,04,0.891,1.0151289384164273
Calabria,2019,04,0,0
California,2019,04,0,0
Campania,2019,04,0,0
Cantabria,2019,04,0.036,0.18638331132035063
Castilla y León,2019,04,0,0
Castilla-La Mancha,2019,04,0,0
Cataluña,2019,04,0,0
Ceuta y Melilla,2019,04,0,0
Cluj,2019,04,0,0
Comunidad de Madrid,2019,04,0,0
Comunidad Foral de Navarra,2019,04,0,0
Comunidad Valenciana,2019,04,0,0
Csongrád,2019,04,0,0
Drenthe,2019,04,0,0
Emilia-Romagna,2019,04,0,0
Extremadura,2019,04,0,0
Fier,2019,04,0,0
Flevoland,2019,04,0,0
Friesland,2019,04,0,0
Friuli-Venezia Giulia,2019,04,0.036,0.18638331132035063
Galicia,2019,04,0,0
Gelderland,2019,04,0,0
Grad Beograd,2019,04,0,0
Grad Sofiya,2019,04,0,0
Grad Zagreb,2019,04,0,0
Groningen,2019,04,0,0
Gyor-Moson-Sopron,2019,04,0.548,0.4979396991041626
Hajdú-Bihar,2019,04,0.014,0.11754921445002436
Heves,2019,04,0.17400000000000002,0.6316407896835263
Hong Kong,2019,04,0,0
IJsselmeer,2019,04,0,0
Islas Baleares,2019,04,0,0
Islas Canarias,2019,04,0,0
Istanbul,2019,04,0,0
Jász-Nagykun-Szolnok,2019,04,0,0
Južno-Bački,2019,04,0.011,0.10435463521037236
Kärnten,2019,04,1.476,1.3178836050800378
Kocaeli,2019,04,0,0
Komárom-Esztergom,2019,04,0.47600000000000003,0.684687505674639
Krapinsko-Zagorska,2019,04,0.359,0.4799472360055315
La Libertad,2019,04,0,0
La Rioja,2019,04,0,0
Lazio,2019,04,0,0
Liguria,2019,04,0,0
Limburg,2019,04,0.001,0.03162277660168379
Lombardia,2019,04,0,0
Macedonia and Thrace,2019,04,0,0
Maharashtra,2019,04,0,0
Marche,2019,04,0,0
Molise,2019,04,0,0
Niederösterreich,2019,04,0.35100000000000003,0.725925104635612
Noord-Brabant,2019,04,0,0
Noord-Holland,2019,04,0,0
Normandie,2019,04,0,0
Nouvelle-Aquitaine,2019,04,0,0
Obalno-kraška,2019,04,0,0
Oberösterreich,2019,04,4.075,4.380050643357714
Occitanie,2019,04,0,0
Osrednjeslovenska,2019,04,0,0
Overijssel,2019,04,0,0
País Vasco,2019,04,0.002,0.04469897088298564
Pest,2019,04,0.22899999999999998,0.9136094360805769
Piemonte,2019,04,0,0
Principado de Asturias,2019,04,0.828,0.3775692765024169
Prizren,2019,04,0,0
Provence-Alpes-Côte d'Azur,2019,04,0,0
Punjab,2019,04,0,0
Razgrad,2019,04,0,0
Región de Murcia,2019,04,0,0
Rheinland-Pfalz,2019,04,0.144,0.35126540875438816
Sakarya,2019,04,0,0
Salzburg,2019,04,0.106,0.30799165387857325
Sardegna,2019,04,0,0
Sicily,2019,04,0,0
Solothurn,2019,04,0.449,0.4976410821532389
Somogy,2019,04,0,0
Steiermark,2019,04,1.072,1.4752443556745503
Telangana,2019,04,0,0
Ticino,2019,04,0.403,0.4907461989988632
Tiranë,2019,04,0,0
Tirol,2019,04,1.402,1.763661498566253
Toscana,2019,04,0,0
Trentino-Alto Adige,2019,04,0,0
Umbria,2019,04,0,0
Utrecht,2019,04,0,0
Valle d'Aosta,2019,04,0,0
Varna,2019,04,0,0
Vas,2019,04,0.321,0.46709439857182744
Veneto,2019,04,0,0
Veszprém,2019,04,0,0
Vlaanderen,2019,04,0,0
Vorarlberg,2019,04,0.726,1.3268348760383306
Wien,2019,04,0,0
Zadarska,2019,04,0,0
Zala,2019,04,0,0
Zeeland,2019,04,0,0
Zeeuwse meren,2019,04,0,0
Zug,2019,04,0.656,0.475278749672116
Zuid Hollandse Meren,2019,04,0,0
Zuid-Holland,2019,04,0,0
Zürich,2019,04,0.686,0.4643485970901814
