year,month,gid_1,se,est
2023,03,ALA.1_2,0,0
2023,03,ALA.2_2,0,0
2023,03,ALA.3_2,0,0
2023,03,ALB.10_1,0,0
2023,03,ALB.11_1,0,0
2023,03,ALB.12_1,0,0
2023,03,ALB.1_1,0,0
2023,03,ALB.2_1,0,0
2023,03,ALB.3_1,0,0
2023,03,ALB.4_1,0,0
2023,03,ALB.5_1,0,0
2023,03,ALB.6_1,0,0
2023,03,ALB.7_1,0,0
2023,03,ALB.8_1,0,0
2023,03,ALB.9_1,0,0
2023,03,AND.2_1,0,0
2023,03,AND.3_1,0,0
2023,03,AND.4_1,0,0
2023,03,AND.5_1,0,0
2023,03,AND.6_1,0,0
2023,03,AND.7_1,0,0
2023,03,ARM.1_1,0,0
2023,03,ARM.2_1,0,0
2023,03,ARM.3_1,0,0
2023,03,ARM.8_1,0,0
2023,03,AUT.1_1,0.050352153073391775,0.0012733053910089086
2023,03,AUT.2_1,0.023923450846314524,1.257799080878891e-4
2023,03,AUT.3_1,0,0
2023,03,AUT.4_1,0,0
2023,03,AUT.5_1,0,0
2023,03,AUT.6_1,0.0514391055326603,3.7006420726230793e-4
2023,03,AUT.7_1,0.0652797655111217,0.0019977474078047386
2023,03,AUT.8_1,0.005642263998988164,4.87242813752148e-5
2023,03,AUT.9_1,0,0
2023,03,AZE.7_1,0,0
2023,03,BEL.1_1,0,0
2023,03,BEL.2_1,0.036114001717948346,7.130245771834467e-4
2023,03,BEL.3_1,0,0
2023,03,BGR.10_1,0,0
2023,03,BGR.11_1,0,0
2023,03,BGR.12_1,0,0
2023,03,BGR.13_1,0,0
2023,03,BGR.14_1,0,0
2023,03,BGR.15_1,0,0
2023,03,BGR.16_1,0,0
2023,03,BGR.17_1,0,0
2023,03,BGR.18_1,0,0
2023,03,BGR.19_1,0,0
2023,03,BGR.1_1,0,0
2023,03,BGR.20_1,0,0
2023,03,BGR.21_1,0,0
2023,03,BGR.22_1,0,0
2023,03,BGR.23_1,0,0
2023,03,BGR.24_1,0,0
2023,03,BGR.25_1,0,0
2023,03,BGR.26_1,0,0
2023,03,BGR.27_1,0,0
2023,03,BGR.28_1,0,0
2023,03,BGR.2_1,0,0
2023,03,BGR.3_1,0,0
2023,03,BGR.4_1,0,0
2023,03,BGR.5_1,0,0
2023,03,BGR.6_1,0,0
2023,03,BGR.7_1,0,0
2023,03,BGR.8_1,0,0
2023,03,BGR.9_1,0,0
2023,03,BIH.1_1,0,0
2023,03,BIH.2_1,0,0
2023,03,BIH.3_1,0,0
2023,03,BLR.1_1,0,0
2023,03,BLR.3_1,0,0
2023,03,BLR.6_1,0,0
2023,03,CHE.10_1,0.02875671939999697,6.617975295501041e-4
2023,03,CHE.11_1,0.04066735899072173,0.003308248538469219
2023,03,CHE.12_1,0.08201439515179856,0.011303851369558311
2023,03,CHE.13_1,0.041817486488097085,0.004415144973248775
2023,03,CHE.14_1,0.014908802603131734,0.009135137392467012
2023,03,CHE.15_1,0.009769426548305949,0.002607498922075486
2023,03,CHE.16_1,0.014921621868271541,4.0136693709007714e-4
2023,03,CHE.17_1,0,0
2023,03,CHE.18_1,0.01594075086353919,0.0011941663972588985
2023,03,CHE.19_1,0.10292001945546174,0.014191568977836697
2023,03,CHE.1_1,0.14749458209357202,0.015586742398387865
2023,03,CHE.20_1,0,0
2023,03,CHE.21_1,0.3070589154449298,0.09228242943105001
2023,03,CHE.22_1,0,0
2023,03,CHE.23_1,0,0
2023,03,CHE.24_1,0.03429082681454978,5.018859924414237e-4
2023,03,CHE.25_1,0.007979366269858516,0.0011583727144240852
2023,03,CHE.26_1,0.031337607575178394,7.845658290400739e-4
2023,03,CHE.2_1,0,0
2023,03,CHE.3_1,0,0
2023,03,CHE.4_1,0.08740502075381935,0.014999772290820335
2023,03,CHE.5_1,0.014904527064585789,0.012180631403000434
2023,03,CHE.6_1,0.13924280275179962,0.007943652844584946
2023,03,CHE.7_1,0.07992713954956247,0.005994501271080687
2023,03,CHE.8_1,0,0
2023,03,CHE.9_1,0.019533959615774636,0.002408410066725986
2023,03,CYP.1_1,0,0
2023,03,CYP.2_1,0,0
2023,03,CYP.3_1,0,0
2023,03,CYP.4_1,0,0
2023,03,CYP.5_1,0,0
2023,03,CZE.10_1,0,0
2023,03,CZE.11_1,0,0
2023,03,CZE.12_1,0,0
2023,03,CZE.13_1,0,0
2023,03,CZE.14_1,0,0
2023,03,CZE.1_1,0,0
2023,03,CZE.2_1,0,0
2023,03,CZE.3_1,0,0
2023,03,CZE.4_1,0,0
2023,03,CZE.5_1,0,0
2023,03,CZE.6_1,0,0
2023,03,CZE.7_1,0,0
2023,03,CZE.8_1,0,0
2023,03,CZE.9_1,0,0
2023,03,DEU.10_1,0,0
2023,03,DEU.11_1,0.01127605294758967,9.060968936963622e-6
2023,03,DEU.12_1,0,0
2023,03,DEU.13_1,0,0
2023,03,DEU.14_1,0,0
2023,03,DEU.15_1,0,0
2023,03,DEU.16_1,0,0
2023,03,DEU.1_1,0.03185750360419935,1.5127349720089891e-4
2023,03,DEU.2_1,0.017835259859683136,2.3303761954284376e-5
