year,month,ID_2,est,se
2019,12,ESP.1.1_1,0.188,0.39090767299812473
2019,12,ESP.1.2_1,0,0
2019,12,ESP.1.3_1,0.003,0.05471740119919799
2019,12,ESP.1.4_1,0.01,0.0995485304256668
2019,12,ESP.1.5_1,0,0
2019,12,ESP.1.6_1,0.076,0.26513071171460745
2019,12,ESP.1.7_1,0.134,0.3408227694273963
2019,12,ESP.1.8_1,0.006,0.07726558075864033
2019,12,ESP.10.1_1,0.092,0.28917057184232914
2019,12,ESP.10.2_1,0.01,0.0995485304256668
2019,12,ESP.10.3_1,0.193,0.39485048677557294
2019,12,ESP.11.1_1,0,0
2019,12,ESP.11.2_1,0,0
2019,12,ESP.12.1_1,0,0
2019,12,ESP.12.2_1,0,0
2019,12,ESP.12.3_1,0,0
2019,12,ESP.12.4_1,0,0
2019,12,ESP.13.1_1,0.557,0.49698893146427114
2019,12,ESP.14.1_1,0,0
2019,12,ESP.14.2_1,0,0
2019,12,ESP.15.1_1,0.004,0.06315051850925682
2019,12,ESP.16.1_1,0,0
2019,12,ESP.16.2_1,0.003,0.05471740119919799
2019,12,ESP.16.3_1,0.095,0.2933616557443407
2019,12,ESP.17.1_1,0,0
2019,12,ESP.18.1_1,0.168,0.3740533597174552
2019,12,ESP.2.1_1,0,0
2019,12,ESP.2.2_1,0.041,0.19838941090279583
2019,12,ESP.2.3_1,0.006,0.07726558075864033
2019,12,ESP.3.1_1,0,0
2019,12,ESP.4.1_1,0.026,0.15921478998305827
2019,12,ESP.4.2_1,0,0
2019,12,ESP.4.3_1,0.003,0.05471740119919799
2019,12,ESP.4.4_1,0,0
2019,12,ESP.4.5_1,0.005,0.07056897321046962
2019,12,ESP.5.1_1,0,0
2019,12,ESP.5.2_1,0,0
2019,12,ESP.5.3_1,0,0
2019,12,ESP.5.4_1,0,0
2019,12,ESP.5.5_1,0,0
2019,12,ESP.5.6_1,0,0
2019,12,ESP.5.7_1,0,0
2019,12,ESP.5.8_1,0,0
2019,12,ESP.5.9_1,0,0
2019,12,ESP.6.1_1,0.183,0.3868600013708585
2019,12,ESP.6.2_1,0.019,0.13659303663678343
2019,12,ESP.6.3_1,0,0
2019,12,ESP.6.4_1,0.002,0.04469897088298564
2019,12,ESP.7.1_1,0,0
2019,12,ESP.7.2_1,0,0
2019,12,ESP.8.1_1,0.004,0.06315051850925682
2019,12,ESP.9.1_1,0.008,0.08912880535463237
