ID_2,est,se
ALB.11.2_1,0.007,0.08341437500789632
ALB.5.1_1,0.008,0.08912880535463237
AUT.3.9_1,0.962,0.19129190414806527
AUT.4.1_1,0,0
AUT.4.12_1,0.058,0.2338604085575211
AUT.4.17_1,0.056,0.2300367729666649
AUT.4.2_1,0,0
AUT.4.4_1,0,0
AUT.4.6_1,0,0
AUT.4.7_1,0.858,0.34922479573758497
AUT.6.3_1,0.05,0.2180540014481448
AUT.6.4_1,0.003,0.05471740119919799
AUT.9.1_1,0,0
BGR.15.1_1,0.937,0.24308453280719053
BGR.2.10_1,0.582,0.49347696959383985
BGR.24.11_1,0,0
ESP.1.1_1,0,0
ESP.1.2_1,0,0
ESP.1.3_1,0,0
ESP.1.4_1,0,0
ESP.1.5_1,0,0
ESP.1.6_1,0.263,0.4404827181911057
ESP.1.7_1,0,0
ESP.1.8_1,0,0
ESP.10.1_1,0,0
ESP.10.2_1,0,0
ESP.10.3_1,0,0
ESP.11.1_1,0,0
ESP.11.2_1,0,0
ESP.12.1_1,0,0
ESP.12.2_1,0,0
ESP.12.3_1,0,0
ESP.12.4_1,0,0
ESP.13.1_1,0,0
ESP.14.1_1,0,0
ESP.14.2_1,0,0
ESP.15.1_1,0,0
ESP.16.1_1,0.001,0.03162277660168379
ESP.16.2_1,0,0
ESP.16.3_1,0,0
ESP.17.1_1,0,0
ESP.18.1_1,0,0
ESP.2.1_1,0,0
ESP.2.2_1,0,0
ESP.2.3_1,0,0
ESP.3.1_1,0,0
ESP.4.1_1,0,0
ESP.4.2_1,0,0
ESP.4.3_1,0,0
ESP.4.4_1,0.026,0.15921478998305827
ESP.4.5_1,0,0
ESP.5.1_1,0.011,0.10435463521037236
ESP.5.2_1,0,0
ESP.5.3_1,0.84,0.366789496216201
ESP.5.4_1,0.005,0.07056897321046962
ESP.5.5_1,0,0
ESP.5.6_1,0,0
ESP.5.7_1,0.001,0.03162277660168379
ESP.5.8_1,0,0
ESP.5.9_1,0,0
ESP.6.1_1,0,0
ESP.6.2_1,0,0
