year,month,ID_2,est,se
2022,10,ESP.1.1_1,1,0
2022,10,ESP.1.2_1,1,0
2022,10,ESP.1.3_1,0.993,0.08341437500789632
2022,10,ESP.1.4_1,1,0
2022,10,ESP.1.5_1,0.993,0.08341437500789632
2022,10,ESP.1.6_1,0.254,0.43551541152257023
2022,10,ESP.1.7_1,0.989,0.10435463521037237
2022,10,ESP.1.8_1,0.999,0.03162277660168379
2022,10,ESP.10.1_1,1,0
2022,10,ESP.10.2_1,0.999,0.03162277660168379
2022,10,ESP.10.3_1,1,0
2022,10,ESP.11.1_1,0.491,0.5001691405606399
2022,10,ESP.11.2_1,0.417,0.4933095928059319
2022,10,ESP.12.1_1,0.991,0.09448771310560929
2022,10,ESP.12.2_1,0.216,0.4117201883725323
2022,10,ESP.12.3_1,0.003,0.05471740119919799
2022,10,ESP.12.4_1,0.673,0.46935199082489393
2022,10,ESP.13.1_1,1,0
2022,10,ESP.14.1_1,0.836,0.3704608498090469
2022,10,ESP.14.2_1,0.979,0.14345584540052586
2022,10,ESP.15.1_1,0.473,0.4995202903992194
2022,10,ESP.16.1_1,0.805,0.39639895576569334
2022,10,ESP.16.2_1,1,0
2022,10,ESP.16.3_1,0.957,0.2029585972364615
2022,10,ESP.17.1_1,0.956,0.20519772441746548
2022,10,ESP.18.1_1,1,0
2022,10,ESP.2.1_1,0.975,0.15620307103062794
2022,10,ESP.2.2_1,0.019,0.13659303663678343
2022,10,ESP.2.3_1,0.999,0.03162277660168379
2022,10,ESP.3.1_1,1,0
2022,10,ESP.4.1_1,0.839,0.3677148544921924
2022,10,ESP.4.2_1,0.207,0.4053582555164201
2022,10,ESP.4.3_1,0.148,0.3552776691859794
2022,10,ESP.4.4_1,0.537,0.4988786223921405
2022,10,ESP.4.5_1,0.674,0.4689818162188636
2022,10,ESP.5.1_1,0.549,0.49784219070589714
2022,10,ESP.5.2_1,0.931,0.2535809600567505
2022,10,ESP.5.3_1,0.778,0.4157990967870047
2022,10,ESP.5.4_1,0.17,0.3758207567993567
2022,10,ESP.5.5_1,0.848,0.3592005359475749
2022,10,ESP.5.6_1,0.392,0.4884409632438444
2022,10,ESP.5.7_1,0.005,0.07056897321046962
2022,10,ESP.5.8_1,0.007,0.08341437500789632
2022,10,ESP.5.9_1,0.471,0.49940805801309257
2022,10,ESP.6.1_1,1,0
2022,10,ESP.6.2_1,1,0
2022,10,ESP.6.3_1,1,0
2022,10,ESP.6.4_1,1,0
2022,10,ESP.7.1_1,0.219,0.41377555535605315
2022,10,ESP.7.2_1,0.232,0.42232020358296185
2022,10,ESP.8.1_1,1,0
2022,10,ESP.9.1_1,0.456,0.4983094543677777
