year,month,ID_2,est,se
2021,03,ALB.11.2_1,0.383,0.48636153995515263
2021,03,ALB.5.1_1,0.01,0.0995485304256668
2021,03,AUT.2.6_2,0,0
2021,03,AUT.2.7_2,0.106,0.30799165387857325
2021,03,AUT.3.1_2,0,0
2021,03,AUT.3.10_2,0,0
2021,03,AUT.3.3_2,0.026,0.15921478998305827
2021,03,AUT.4.1_2,0,0
2021,03,AUT.4.12_2,0,0
2021,03,AUT.4.15_2,0.112,0.3155242550986462
2021,03,AUT.4.16_2,0.002,0.04469897088298564
2021,03,AUT.4.17_2,0,0
2021,03,AUT.4.2_2,0,0
2021,03,AUT.4.3_2,0,0
2021,03,AUT.4.4_2,0,0
2021,03,AUT.4.6_2,0,0
2021,03,AUT.4.7_2,0.103,0.304110972316823
2021,03,AUT.4.8_2,0,0
2021,03,AUT.6.3_2,0.038,0.19129190414806527
2021,03,AUT.6.4_2,0,0
2021,03,AUT.6.7_2,0,0
2021,03,AUT.8.1_2,0.001,0.03162277660168379
2021,03,AUT.8.4_2,0,0
2021,03,AUT.9.1_2,0.007,0.08341437500789632
2021,03,BEL.2.2_1,0,0
2021,03,BEL.2.4_1,0,0
2021,03,BGR.13.10_1,0,0
2021,03,BGR.15.1_1,0,0
2021,03,BGR.24.11_1,0,0
2021,03,BGR.5.1_1,0.005,0.07056897321046962
2021,03,ESP.1.1_1,0,0
2021,03,ESP.1.2_1,0.294,0.45581988961844544
2021,03,ESP.1.3_1,0,0
2021,03,ESP.1.4_1,0.005,0.07056897321046962
2021,03,ESP.1.5_1,0,0
2021,03,ESP.1.6_1,0,0
2021,03,ESP.1.7_1,0.516,0.49999399395792143
2021,03,ESP.1.8_1,0.787,0.40963251677424095
2021,03,ESP.10.1_1,0.472,0.49946517943242597
2021,03,ESP.10.2_1,0.04,0.19605723255834873
2021,03,ESP.10.3_1,0.387,0.48730736549786363
2021,03,ESP.11.1_1,0.001,0.03162277660168379
2021,03,ESP.11.2_1,0.001,0.03162277660168379
2021,03,ESP.12.1_1,0.001,0.03162277660168379
2021,03,ESP.12.2_1,0,0
2021,03,ESP.12.3_1,0,0
2021,03,ESP.12.4_1,0,0
2021,03,ESP.13.1_1,0.423,0.49428262696084646
2021,03,ESP.14.1_1,0,0
2021,03,ESP.14.2_1,0.228,0.4197525368502163
2021,03,ESP.15.1_1,0.017,0.1293357171384909
2021,03,ESP.16.1_1,0,0
2021,03,ESP.16.2_1,0.106,0.30799165387857325
2021,03,ESP.16.3_1,0,0
2021,03,ESP.17.1_1,0.612,0.48753840227585526
2021,03,ESP.18.1_1,0.049,0.21597603025716916
2021,03,ESP.2.1_1,0,0
2021,03,ESP.2.2_1,0,0
2021,03,ESP.2.3_1,0.016,0.12553788177183714
2021,03,ESP.3.1_1,0,0
2021,03,ESP.4.1_1,0,0
2021,03,ESP.4.2_1,0,0
2021,03,ESP.4.3_1,0,0
2021,03,ESP.4.4_1,0.004,0.06315051850925682
2021,03,ESP.4.5_1,0.018,0.13301764429463367
2021,03,ESP.5.1_1,0.042,0.20068950215762726
2021,03,ESP.5.2_1,0.01,0.0995485304256668
2021,03,ESP.5.3_1,0.002,0.04469897088298564
2021,03,ESP.5.4_1,0,0
2021,03,ESP.5.5_1,0,0
2021,03,ESP.5.6_1,0,0
2021,03,ESP.5.7_1,0,0
2021,03,ESP.5.8_1,0,0
2021,03,ESP.5.9_1,0,0
2021,03,ESP.6.1_1,0.968,0.17608806605504818
2021,03,ESP.6.2_1,0.194,0.39562674393994207
2021,03,ESP.6.3_1,0,0
2021,03,ESP.6.4_1,0.439,0.49651336892930237
2021,03,ESP.7.1_1,0.976,0.15312559370479986
2021,03,ESP.7.2_1,0,0
2021,03,ESP.8.1_1,0.317,0.46554025360620294
2021,03,ESP.9.1_1,0,0
2021,03,FRA.1.12_1,0,0
2021,03,FRA.1.3_1,0,0
2021,03,FRA.10.10_1,0,0
2021,03,FRA.10.11_1,0,0
2021,03,FRA.11.11_1,0,0
2021,03,FRA.11.8_1,0,0
2021,03,FRA.11.9_1,0,0
2021,03,FRA.13.2_1,0.002,0.04469897088298564
2021,03,FRA.13.3_1,0,0
2021,03,FRA.13.6_1,0,0
2021,03,FRA.9.1_1,0.085,0.2790212408632233
2021,03,GRC.1.1_1,0.046,0.20958990416508122
2021,03,GRC.3.1_1,0,0
2021,03,GRC.6.1_1,0.066,0.24840633185509925
2021,03,GRC.8.2_1,0,0
2021,03,HKG.2_1,0,0
2021,03,HRV.20.31_1,0.007,0.08341437500789632
2021,03,HRV.4.7_1,0,0
2021,03,HUN.10.2_1,0.001,0.03162277660168379
2021,03,HUN.10.6_1,0,0
2021,03,HUN.12.1_1,0,0
2021,03,HUN.14.10_1,0,0
2021,03,HUN.14.11_1,0,0
2021,03,HUN.14.12_1,0,0
2021,03,HUN.14.14_1,0,0
2021,03,HUN.14.15_1,0,0
2021,03,HUN.14.4_1,0,0
2021,03,HUN.14.5_1,0,0
2021,03,HUN.14.7_1,0.024,0.15312559370479986
2021,03,HUN.15.2_1,0,0
2021,03,HUN.15.7_1,0,0
2021,03,HUN.18.8_1,0,0
2021,03,HUN.19.2_1,0,0
2021,03,HUN.2.3_1,0,0
2021,03,HUN.2.7_1,0,0
2021,03,HUN.20.4_1,0,0
2021,03,HUN.4.8_1,1,0
2021,03,HUN.5.1_1,0.226,0.41844844258175834
2021,03,HUN.6.7_1,0.015,0.12161327966052798
2021,03,IND.20.26_1,0,0
2021,03,IND.32.9_1,0,0
2021,03,ITA.1.1_1,0,0
2021,03,ITA.1.2_1,0.004,0.06315051850925682
2021,03,ITA.1.3_1,0.01,0.0995485304256668
2021,03,ITA.1.4_1,0.287,0.4525879316064844
2021,03,ITA.10.1_1,0.232,0.42232020358296185
2021,03,ITA.10.10_1,0.03,0.17067257872642908
2021,03,ITA.10.11_1,0.003,0.05471740119919799
2021,03,ITA.10.12_1,0.072,0.2586172517116422
2021,03,ITA.10.2_1,0.056,0.23003677296666486
2021,03,ITA.10.3_1,0.038,0.19129190414806527
2021,03,ITA.10.4_1,0.452,0.4979396991041626
2021,03,ITA.10.5_1,0.003,0.05471740119919799
2021,03,ITA.10.6_1,0.081,0.27297163499805893
2021,03,ITA.10.7_1,0.032,0.17608806605504818
2021,03,ITA.10.8_1,0.648,0.47783294604320065
2021,03,ITA.10.9_1,0.102,0.30279974849343533
2021,03,ITA.11.1_1,0,0
2021,03,ITA.11.2_1,0.006,0.07726558075864033
2021,03,ITA.11.3_1,0,0
2021,03,ITA.11.4_1,0.063,0.24308453280719053
2021,03,ITA.11.5_1,0.016,0.12553788177183714
2021,03,ITA.12.1_1,0,0
2021,03,ITA.12.2_1,0,0
2021,03,ITA.13.1_1,0.001,0.03162277660168379
2021,03,ITA.13.2_1,0,0
2021,03,ITA.13.3_1,0,0
2021,03,ITA.13.4_1,0.006,0.07726558075864033
2021,03,ITA.13.5_1,0.001,0.03162277660168379
2021,03,ITA.13.6_1,0.012,0.10893974420691407
2021,03,ITA.13.7_1,0.001,0.03162277660168379
2021,03,ITA.13.8_1,0.402,0.4905472827736758
2021,03,ITA.14.1_1,0,0
2021,03,ITA.14.2_1,0.046,0.20958990416508122
2021,03,ITA.14.3_1,0.022,0.1467567291047928
2021,03,ITA.14.4_1,0,0
2021,03,ITA.14.5_1,1,0
2021,03,ITA.14.6_1,0.468,0.4992246240173107
2021,03,ITA.14.7_1,0.007,0.08341437500789632
2021,03,ITA.14.8_1,0.068,0.2518718710762269
2021,03,ITA.15.1_1,0,0
2021,03,ITA.15.2_1,0.052,0.22213812222431642
2021,03,ITA.15.3_1,0.055,0.22809433799861634
2021,03,ITA.15.4_1,0,0
2021,03,ITA.15.5_1,0,0
2021,03,ITA.15.6_1,0.213,0.40963251677424095
2021,03,ITA.15.7_1,0.228,0.4197525368502163
2021,03,ITA.15.8_1,0.001,0.03162277660168379
2021,03,ITA.15.9_1,0.054,0.2261307920985887
2021,03,ITA.16.1_1,0.003,0.05471740119919799
2021,03,ITA.16.10_1,0.007,0.08341437500789632
2021,03,ITA.16.2_1,0.356,0.4790547917446328
2021,03,ITA.16.3_1,0.339,0.47360669685225454
2021,03,ITA.16.4_1,0.108,0.3105357184486713
2021,03,ITA.16.5_1,0.024,0.15312559370479986
2021,03,ITA.16.6_1,0,0
2021,03,ITA.16.7_1,0.035,0.18387171834952978
2021,03,ITA.16.8_1,0.106,0.30799165387857325
2021,03,ITA.16.9_1,0.026,0.15921478998305827
2021,03,ITA.17.1_1,0,0
2021,03,ITA.17.2_1,0.021,0.14345584540052586
2021,03,ITA.18.1_1,0.001,0.03162277660168379
2021,03,ITA.18.2_1,0.007,0.08341437500789632
2021,03,ITA.19.1_1,0,0
2021,03,ITA.2.1_1,0.288,0.4530576798391804
2021,03,ITA.2.2_1,0,0
2021,03,ITA.2.3_1,0.575,0.4945903553645376
2021,03,ITA.2.4_1,0.001,0.03162277660168379
2021,03,ITA.2.5_1,0.52,0.4998498272980094
2021,03,ITA.2.6_1,0.024,0.15312559370479986
2021,03,ITA.20.1_1,0,0
2021,03,ITA.20.2_1,0.076,0.26513071171460745
2021,03,ITA.20.3_1,0.004,0.06315051850925682
2021,03,ITA.20.4_1,0.618,0.48611964814468495
2021,03,ITA.20.5_1,0.593,0.49152069396170145
2021,03,ITA.20.6_1,0.047,0.21174474216810163
