year,month,ID_2,est,se
2014,07,ALB.11.2_1,0,0
2014,07,ALB.12.2_1,0,0
2014,07,ALB.5.1_1,0,0
2014,07,AUT.2.6_2,0.234,0.42358402168096876
2014,07,AUT.2.7_2,0.219,0.41377555535605315
2014,07,AUT.3.10_2,0.373,0.48384409173317916
2014,07,AUT.3.3_2,0,0
2014,07,AUT.4.12_2,0.403,0.4907461989988632
2014,07,AUT.4.16_2,0.242,0.428508599236491
2014,07,AUT.4.3_2,0.369,0.48277538469983333
2014,07,AUT.4.4_2,0.327,0.46935199082489393
2014,07,AUT.4.6_2,0.35,0.47720826452161086
2014,07,AUT.4.8_2,0.319,0.4663222667388471
2014,07,AUT.6.12_2,0.267,0.4426137220047599
2014,07,AUT.6.3_2,0.2,0.40020015012510946
2014,07,AUT.6.4_2,0.342,0.47461696267754827
2014,07,AUT.9.1_2,0.021,0.14345584540052586
2014,07,BEL.2.1_1,0,0
2014,07,BEL.2.2_1,0,0
2014,07,BGR.13.10_1,0,0
2014,07,BGR.15.1_1,0,0
2014,07,BGR.24.11_1,0,0
2014,07,BGR.5.1_1,0,0
2014,07,DEU.3.1_1,0,0
2014,07,ESP.1.1_1,0,0
2014,07,ESP.1.2_1,0,0
2014,07,ESP.1.3_1,0,0
2014,07,ESP.1.4_1,0,0
2014,07,ESP.1.5_1,0,0
2014,07,ESP.1.6_1,0,0
2014,07,ESP.1.7_1,0,0
2014,07,ESP.1.8_1,0,0
2014,07,ESP.10.1_1,0,0
2014,07,ESP.10.2_1,0,0
2014,07,ESP.10.3_1,0,0
2014,07,ESP.11.1_1,0,0
2014,07,ESP.11.2_1,0,0
2014,07,ESP.12.1_1,0,0
2014,07,ESP.12.2_1,0,0
2014,07,ESP.12.3_1,0,0
2014,07,ESP.12.4_1,0,0
2014,07,ESP.13.1_1,0,0
2014,07,ESP.14.1_1,0,0
2014,07,ESP.14.2_1,0,0
2014,07,ESP.15.1_1,0,0
2014,07,ESP.16.1_1,0,0
2014,07,ESP.16.2_1,0.006,0.07726558075864033
2014,07,ESP.16.3_1,0.008,0.08912880535463237
2014,07,ESP.17.1_1,0.031,0.17340435135563662
2014,07,ESP.18.1_1,0,0
2014,07,ESP.2.1_1,0,0
2014,07,ESP.2.2_1,0,0
2014,07,ESP.2.3_1,0,0
2014,07,ESP.3.1_1,0.008,0.08912880535463237
2014,07,ESP.4.1_1,0,0
2014,07,ESP.4.2_1,0,0
2014,07,ESP.4.3_1,0,0
2014,07,ESP.4.4_1,0,0
2014,07,ESP.4.5_1,0,0
2014,07,ESP.5.1_1,0,0
2014,07,ESP.5.2_1,0,0
2014,07,ESP.5.3_1,0,0
2014,07,ESP.5.4_1,0,0
2014,07,ESP.5.5_1,0,0
2014,07,ESP.5.6_1,0,0
2014,07,ESP.5.7_1,0,0
2014,07,ESP.5.8_1,0,0
2014,07,ESP.5.9_1,0,0
2014,07,ESP.6.1_1,0,0
2014,07,ESP.6.2_1,0,0
2014,07,ESP.6.3_1,0,0
2014,07,ESP.6.4_1,0,0
2014,07,ESP.7.1_1,0,0
2014,07,ESP.7.2_1,0,0
2014,07,ESP.8.1_1,0,0
2014,07,ESP.9.1_1,0,0
2014,07,FRA.11.11_1,0,0
2014,07,FRA.11.8_1,0,0
2014,07,FRA.13.5_1,0,0
2014,07,FRA.9.1_1,0,0
2014,07,GRC.1.1_1,0,0
2014,07,GRC.3.1_1,0,0
2014,07,GRC.6.1_1,0,0
2014,07,GRC.8.2_1,0,0
2014,07,HKG.2_1,0,0
2014,07,HRV.20.31_1,0,0
2014,07,HRV.4.7_1,0,0
2014,07,HUN.10.2_1,0.251,0.43380547159664457
2014,07,HUN.10.4_1,0.291,0.45445079549443584
2014,07,HUN.10.6_1,0.201,0.40094857495663927
2014,07,HUN.12.1_1,0.187,0.3901066305296325
2014,07,HUN.14.11_1,0,0
2014,07,HUN.14.12_1,0,0
2014,07,HUN.14.4_1,0,0
2014,07,HUN.14.5_1,0.11,0.31304631925323445
2014,07,HUN.14.7_1,0.431,0.49546390835709164
2014,07,HUN.15.2_1,0,0
2014,07,HUN.15.7_1,0,0
2014,07,HUN.18.8_1,0,0
2014,07,HUN.19.2_1,0,0
2014,07,HUN.2.3_1,0.257,0.43719805825522845
2014,07,HUN.2.7_1,0,0
2014,07,HUN.20.4_1,0,0
2014,07,HUN.4.8_1,0,0
2014,07,HUN.5.1_1,0.026,0.15921478998305827
