year,month,ID_2,est,se
2019,11,ALB.11.2_1,0,0
2019,11,ALB.5.1_1,0,0
2019,11,AUT.3.1_2,0,0
2019,11,AUT.3.10_2,0,0
2019,11,AUT.3.14_2,0,0
2019,11,AUT.3.3_2,0,0
2019,11,AUT.4.1_2,0,0
2019,11,AUT.4.12_2,0,0
2019,11,AUT.4.15_2,0,0
2019,11,AUT.4.16_2,0,0
2019,11,AUT.4.17_2,0,0
2019,11,AUT.4.2_2,0,0
2019,11,AUT.4.4_2,0,0
2019,11,AUT.4.6_2,0,0
2019,11,AUT.4.7_2,0,0
2019,11,AUT.4.8_2,0,0
2019,11,AUT.6.12_2,0,0
2019,11,AUT.6.3_2,0,0
2019,11,AUT.6.4_2,0,0
2019,11,AUT.6.7_2,0,0
2019,11,AUT.9.1_2,0,0
2019,11,BEL.2.1_1,0,0
2019,11,BEL.2.2_1,0,0
2019,11,BGR.13.10_1,0,0
2019,11,BGR.15.1_1,0,0
2019,11,BGR.24.11_1,0,0
2019,11,BGR.5.1_1,0,0
2019,11,DEU.3.1_1,0,0
2019,11,ESP.1.1_1,0,0
2019,11,ESP.1.2_1,0,0
2019,11,ESP.1.3_1,0,0
2019,11,ESP.1.4_1,0,0
2019,11,ESP.1.5_1,0,0
2019,11,ESP.1.6_1,0,0
2019,11,ESP.1.7_1,0,0
2019,11,ESP.1.8_1,0,0
2019,11,ESP.10.1_1,0,0
2019,11,ESP.10.2_1,0,0
2019,11,ESP.10.3_1,0,0
2019,11,ESP.11.1_1,0,0
2019,11,ESP.11.2_1,0,0
2019,11,ESP.12.1_1,0,0
2019,11,ESP.12.2_1,0,0
2019,11,ESP.12.3_1,0,0
2019,11,ESP.12.4_1,0,0
2019,11,ESP.13.1_1,0,0
2019,11,ESP.14.1_1,0,0
2019,11,ESP.14.2_1,0,0
2019,11,ESP.15.1_1,0,0
2019,11,ESP.16.1_1,0,0
2019,11,ESP.16.2_1,0,0
2019,11,ESP.16.3_1,0,0
2019,11,ESP.17.1_1,0,0
2019,11,ESP.18.1_1,0,0
2019,11,ESP.2.1_1,0,0
2019,11,ESP.2.2_1,0,0
2019,11,ESP.2.3_1,0,0
2019,11,ESP.3.1_1,0,0
2019,11,ESP.4.1_1,0,0
2019,11,ESP.4.2_1,0,0
2019,11,ESP.4.3_1,0,0
2019,11,ESP.4.4_1,0,0
2019,11,ESP.4.5_1,0,0
2019,11,ESP.5.1_1,0,0
2019,11,ESP.5.2_1,0,0
2019,11,ESP.5.3_1,0,0
2019,11,ESP.5.4_1,0,0
2019,11,ESP.5.5_1,0,0
2019,11,ESP.5.6_1,0,0
2019,11,ESP.5.7_1,0,0
2019,11,ESP.5.8_1,0,0
2019,11,ESP.5.9_1,0,0
2019,11,ESP.6.1_1,0,0
2019,11,ESP.6.2_1,0,0
2019,11,ESP.6.3_1,0,0
2019,11,ESP.6.4_1,0,0
2019,11,ESP.7.1_1,0,0
2019,11,ESP.7.2_1,0,0
2019,11,ESP.8.1_1,0,0
2019,11,ESP.9.1_1,0,0
2019,11,FRA.11.11_1,0,0
2019,11,FRA.11.8_1,0,0
2019,11,FRA.13.5_1,0,0
2019,11,FRA.9.1_1,0,0
2019,11,GRC.1.1_1,0,0
2019,11,GRC.3.1_1,0,0
2019,11,GRC.6.1_1,0,0
2019,11,HKG.2_1,0,0
2019,11,HRV.20.31_1,0,0
2019,11,HRV.4.7_1,0,0
2019,11,HUN.10.2_1,0.14,0.3471606552023436
2019,11,HUN.10.6_1,0.132,0.3386601403925338
2019,11,HUN.12.1_1,0.136,0.3429600875052688
2019,11,HUN.14.10_1,0.104,0.30541328929383094
2019,11,HUN.14.11_1,0.113,0.3167512136225074
2019,11,HUN.14.14_1,0.125,0.33088439746304826
