year,month,gid_3,est,se
2019,10,ESP.10.1.1_1,0.993,0.08341437500789632
2019,10,ESP.10.1.2_1,0.962,0.19129190414806527
2019,10,ESP.10.1.3_1,0.086,0.28050433629924987
2019,10,ESP.10.1.4_1,0.998,0.04469897088298564
2019,10,ESP.10.1.4_1,0.998,0.04469897088298564
2019,10,ESP.10.1.5_1,0.239,0.42668613881993056
2019,10,ESP.10.1.6_1,0.915,0.2790212408632233
2019,10,ESP.10.1.7_1,0.837,0.36955049393495276
2019,10,ESP.10.1.8_1,0.855,0.3522770203960217
2019,10,ESP.10.1.9_1,0.976,0.15312559370479986
2019,10,ESP.10.2.1_1,0.134,0.3408227694273963
2019,10,ESP.10.2.2_1,0.597,0.4907461989988632
2019,10,ESP.10.2.3_1,0.661,0.47360669685225454
2019,10,ESP.10.2.5_1,0.833,0.3731624984510773
2019,10,ESP.10.2.7_1,0.215,0.4110279113928201
2019,10,ESP.10.2.8_1,0.079,0.26987373312686774
2019,10,ESP.10.3.1_1,0.91,0.28632495871296654
2019,10,ESP.10.3.10_1,0.982,0.13301764429463367
2019,10,ESP.10.3.11_1,0.889,0.3142893217686178
2019,10,ESP.10.3.12_1,0.531,0.4992877810324305
2019,10,ESP.10.3.13_1,0.958,0.20068950215762726
2019,10,ESP.10.3.14_1,0.099,0.2988114594326802
2019,10,ESP.10.3.16_1,0.748,0.4343785039394614
2019,10,ESP.10.3.17_1,0.799,0.40094857495663927
2019,10,ESP.10.3.18_1,0.174,0.37929917989348183
2019,10,ESP.10.3.2_1,0.996,0.06315051850925682
2019,10,ESP.10.3.3_1,0.064,0.24487540497968344
2019,10,ESP.10.3.4_1,0.562,0.4963893657225167
2019,10,ESP.10.3.5_1,0.13,0.33647171235218754
2019,10,ESP.10.3.6_1,0.049,0.21597603025716916
2019,10,ESP.10.3.7_1,1,0
2019,10,ESP.10.3.8_1,0.965,0.18387171834952978
2019,10,ESP.10.3.9_1,0.642,0.4796520260210167
