year,month,gid_3,est,se
2021,03,ESP.1.1.6_1,0.402,0.4905472827736758
2021,03,ESP.1.1.7_1,0,0.4905472827736758
2021,03,ESP.1.2.1_1,0.421,0.49396660110072527
2021,03,ESP.1.2.4_1,0,0.49396660110072527
2021,03,ESP.1.4.5_1,0.354,0.4784484433174727
2021,03,ESP.1.5.4_1,0.032,0.17608806605504818
2021,03,ESP.1.5.5_1,0.032,0.17608806605504818
2021,03,ESP.1.7.1_1,0.47,0.49934892545128134
2021,03,ESP.1.7.2_1,0.47,0.49934892545128134
2021,03,ESP.1.7.4_1,0.47,0.49934892545128134
2021,03,ESP.1.8.1_1,0,0.3203851535989872
2021,03,ESP.1.8.2_1,0,0.3203851535989872
2021,03,ESP.1.8.3_1,0.884,0.3203851535989872
2021,03,ESP.1.8.7_1,0,0.3203851535989872
2021,03,ESP.10.1.1_1,0,0.49946517943242597
2021,03,ESP.10.1.8_1,0,0.49946517943242597
2021,03,ESP.10.1.9_1,0,0.49946517943242597
2021,03,ESP.10.2.3_1,0,0.4825026516080599
2021,03,ESP.10.2.5_1,0,0.4825026516080599
2021,03,ESP.10.2.7_1,0,0.4825026516080599
2021,03,ESP.10.2.8_1,0,0.4825026516080599
2021,03,ESP.10.3.11_1,0,0.4497123983628217
2021,03,ESP.10.3.12_1,0,0.4497123983628217
2021,03,ESP.10.3.2_1,0,0.4497123983628217
2021,03,ESP.10.3.4_1,0,0.4497123983628217
2021,03,ESP.10.3.7_1,0,0.4497123983628217
2021,03,ESP.10.3.8_1,0,0.4497123983628217
2021,03,ESP.11.1.11_1,0,0.304110972316823
2021,03,ESP.11.1.3_1,0,0.304110972316823
2021,03,ESP.11.1.5_1,0,0.304110972316823
2021,03,ESP.11.2.10_1,0,0.25527468571161765
2021,03,ESP.11.2.4_1,0,0.25527468571161765
2021,03,ESP.11.2.6_1,0,0.25527468571161765
2021,03,ESP.11.2.8_1,0,0.25527468571161765
2021,03,ESP.11.2.9_1,0,0.25527468571161765
2021,03,ESP.12.1.1_1,0.021,0.14345584540052586
2021,03,ESP.12.2.1_1,0.01,0.0995485304256668
2021,03,ESP.12.2.2_1,0.01,0.0995485304256668
2021,03,ESP.12.4.3_1,0.011,0.10435463521037237
2021,03,ESP.13.1.2_1,0,0.4992246240173107
2021,03,ESP.13.1.3_1,0,0.4992246240173107
2021,03,ESP.13.1.5_1,0,0.4992246240173107
2021,03,ESP.13.1.8_1,0.468,0.4992246240173107
2021,03,ESP.14.1.1_1,0.289,0.45352473436923446
2021,03,ESP.14.2.1_1,0.252,0.4343785039394614
2021,03,ESP.15.1.6_1,0,0.10435463521037237
2021,03,ESP.16.1.3_1,0,0.03162277660168379
2021,03,ESP.16.2.1_1,0,0.3986915536538929
2021,03,ESP.16.3.1_1,0,0.10893974420691407
2021,03,ESP.17.1.2_1,0,0.32860155048170264
2021,03,ESP.17.1.4_1,0,0.32860155048170264
2021,03,ESP.17.1.8_1,0.123,0.32860155048170264
2021,03,ESP.18.1.11_1,0,0.4997657108743714
2021,03,ESP.18.1.2_1,0.478,0.4997657108743714
2021,03,ESP.18.1.3_1,0,0.4997657108743714
2021,03,ESP.18.1.4_1,0,0.4997657108743714
2021,03,ESP.18.1.5_1,0,0.4997657108743714
2021,03,ESP.18.1.6_1,0,0.4997657108743714
2021,03,ESP.2.3.2_1,0.011,0.10435463521037237
2021,03,ESP.3.1.1_1,0.002,0.04469897088298564
2021,03,ESP.3.1.11_1,0.002,0.04469897088298564
2021,03,ESP.3.1.6_1,0.002,0.04469897088298564
2021,03,ESP.4.1.1_1,0,0.3562666500332664
2021,03,ESP.4.3.6_1,0,0.26830577330349786
2021,03,ESP.4.5.6_1,0,0.4602127723084137
2021,03,ESP.5.8.2_1,0,0.03162277660168379
2021,03,ESP.6.1.10_1,0.12531818181818183,0.27297163499805893
2021,03,ESP.6.1.11_1,0.919,0.27297163499805893
2021,03,ESP.6.1.12_1,0,0.27297163499805893
2021,03,ESP.6.1.3_1,0,0.27297163499805893
2021,03,ESP.6.1.5_1,0,0.27297163499805893
2021,03,ESP.6.1.7_1,0,0.27297163499805893
2021,03,ESP.6.1.8_1,0,0.27297163499805893
2021,03,ESP.6.1.9_1,0,0.27297163499805893
2021,03,ESP.6.2.4_1,0.496,0.5002341793942455
2021,03,ESP.6.2.5_1,0.496,0.5002341793942455
2021,03,ESP.6.2.6_1,0.496,0.5002341793942455
2021,03,ESP.6.2.7_1,0.496,0.5002341793942455
2021,03,ESP.6.3.10_1,0.404,0.4909429956981004
2021,03,ESP.6.3.6_1,0.404,0.4909429956981004
2021,03,ESP.6.4.2_1,0.545,0.4982200550190881
2021,03,ESP.6.4.3_1,0.545,0.4982200550190881
2021,03,ESP.6.4.7_1,0.545,0.4982200550190881
2021,03,ESP.8.1.1_1,0,0.49940805801309257
2021,03,ESP.8.1.2_1,0,0.49940805801309257
2021,03,ESP.8.1.3_1,0.12845454545454546,0.49940805801309257
2021,03,ESP.8.1.4_1,0,0.49940805801309257
2021,03,ESP.8.1.5_1,0.471,0.49940805801309257
2021,03,ESP.8.1.6_1,0,0.49940805801309257
2021,03,ESP.9.1.3_1,0,0.04469897088298564
2021,03,ESP.9.1.6_1,0,0.04469897088298564
2021,03,ESP.9.1.9_1,0,0.04469897088298564
