year,month,gid_3,est,se
2020,08,ESP.1.1.2_1,0.189,0.3917045218432287
2020,08,ESP.1.1.3_1,0.189,0.3917045218432287
2020,08,ESP.1.1.4_1,0.189,0.3917045218432287
2020,08,ESP.1.1.5_1,0.189,0.3917045218432287
2020,08,ESP.1.1.6_1,0.189,0.3917045218432287
2020,08,ESP.1.1.7_1,0.189,0.3917045218432287
2020,08,ESP.1.2.1_1,0.191,0.3932857404911519
2020,08,ESP.1.2.2_1,0.191,0.3932857404911519
2020,08,ESP.1.2.3_1,0.191,0.3932857404911519
2020,08,ESP.1.2.4_1,0.191,0.3932857404911519
2020,08,ESP.1.2.5_1,0.191,0.3932857404911519
2020,08,ESP.1.2.6_1,0.191,0.3932857404911519
2020,08,ESP.1.3.4_1,0.33,0.47044800065609943
2020,08,ESP.1.3.7_1,0.33,0.47044800065609943
2020,08,ESP.1.3.8_1,0.33,0.47044800065609943
2020,08,ESP.1.4.10_1,0.173,0.37843653921656956
2020,08,ESP.1.4.2_1,0.173,0.37843653921656956
2020,08,ESP.1.4.4_1,0.173,0.37843653921656956
2020,08,ESP.1.4.5_1,0.173,0.37843653921656956
2020,08,ESP.1.4.8_1,0.173,0.37843653921656956
2020,08,ESP.1.5.1_1,0,0.2535809600567505
2020,08,ESP.1.5.2_1,0,0.2535809600567505
2020,08,ESP.1.5.4_1,0.069,0.2535809600567505
2020,08,ESP.1.5.5_1,0,0.2535809600567505
2020,08,ESP.1.5.6_1,0,0.2535809600567505
2020,08,ESP.1.6.2_1,0.17,0.3758207567993567
2020,08,ESP.1.6.5_1,0.17,0.3758207567993567
2020,08,ESP.1.6.7_1,0.17,0.3758207567993567
2020,08,ESP.1.7.1_1,0,0.4631344227041362
2020,08,ESP.1.7.2_1,0,0.4631344227041362
2020,08,ESP.1.7.3_1,0,0.4631344227041362
2020,08,ESP.1.7.4_1,0.311,0.4631344227041362
2020,08,ESP.1.8.2_1,0,0.4927949338688932
2020,08,ESP.1.8.3_1,0.586,0.4927949338688932
2020,08,ESP.1.8.4_1,0,0.4927949338688932
2020,08,ESP.1.8.5_1,0,0.4927949338688932
2020,08,ESP.10.1.1_1,0.151,0.3582280381646966
2020,08,ESP.10.1.2_1,0.151,0.3582280381646966
2020,08,ESP.10.1.3_1,0.151,0.3582280381646966
2020,08,ESP.10.1.4_1,0.151,0.3582280381646966
2020,08,ESP.10.1.6_1,0.151,0.3582280381646966
2020,08,ESP.10.1.7_1,0.151,0.3582280381646966
2020,08,ESP.10.1.8_1,0.151,0.3582280381646966
2020,08,ESP.10.1.9_1,0.151,0.3582280381646966
2020,08,ESP.10.2.2_1,0,0.38437969216355294
2020,08,ESP.10.2.3_1,0,0.38437969216355294
2020,08,ESP.10.2.5_1,0,0.38437969216355294
2020,08,ESP.10.2.7_1,0,0.38437969216355294
2020,08,ESP.10.2.8_1,0.18,0.38437969216355294
2020,08,ESP.10.3.1_1,0.295,0.45627095369219284
2020,08,ESP.10.3.10_1,0.295,0.45627095369219284
