year,month,gid_4,est,se
2020,12,ARG.24.2_1,0.313,0.4639463829433809
2020,12,DOM.5.1_1,0.025,0.15620307103062794
2020,12,GTM.7.7_1,0.012,0.10893974420691407
2020,12,HND.8.4_1,0.006,0.07726558075864033
2020,12,IND.20.26.7_1,0.013,0.11333068359382575
2020,12,IND.34.1.5_1,0.043,0.2029585972364615
2020,12,MEX.14.40_2,0.019,0.13659303663678343
2020,12,MEX.14.99_2,0.009,0.09448771310560929
2020,12,MEX.16.57_2,0.011,0.10435463521037237
2020,12,MEX.17.7_2,0.024,0.15312559370479986
2020,12,MEX.31.50_2,0.005,0.07056897321046962
2020,12,MEX.4.5_2,0.05,0.21805400144814482
2020,12,MEX.9.9_2,0.005,0.07056897321046962
2020,12,PAK.7.5.2_1,0.04,0.19605723255834873
2020,12,PER.13.11.10_1,0.016,0.12553788177183714
2020,12,PRI.52_1,0.09,0.28632495871296654
2020,12,PRI.65_1,0.049,0.21597603025716916
2020,12,USA.10.43_1,0.017,0.1293357171384909
2020,12,USA.5.19_1,0.014,0.11754921445002436
2020,12,VEN.14.3_1,0.032,0.17608806605504818
