year,month,gid_1,se,est
2021,04,ALA.1_2,0,0
2021,04,ALA.2_2,0,0
2021,04,ALA.3_2,0,0
2021,04,ALB.10_1,0,0
2021,04,ALB.11_1,0,0
2021,04,ALB.12_1,0,0
2021,04,ALB.1_1,0,0
2021,04,ALB.2_1,0,0
2021,04,ALB.3_1,0,0
2021,04,ALB.4_1,0,0
2021,04,ALB.5_1,0,0
2021,04,ALB.6_1,0,0
2021,04,ALB.7_1,0,0
2021,04,ALB.8_1,0,0
2021,04,ALB.9_1,0,0
2021,04,AND.2_1,0,0
2021,04,AND.3_1,0,0
2021,04,AND.4_1,0,0
2021,04,AND.5_1,0,0
2021,04,AND.6_1,0,0
2021,04,AND.7_1,0,0
2021,04,ARM.1_1,0,0
2021,04,ARM.2_1,0,0
2021,04,ARM.3_1,0,0
2021,04,ARM.8_1,0.13867365135759954,0.4813338291909325
2021,04,AUT.1_1,0,0
2021,04,AUT.2_1,0,0
2021,04,AUT.3_1,0,0
2021,04,AUT.4_1,0,0
2021,04,AUT.5_1,0,0
2021,04,AUT.6_1,0,0
2021,04,AUT.7_1,0,0
2021,04,AUT.8_1,0,0
2021,04,AUT.9_1,0,0
2021,04,AZE.7_1,0,0
2021,04,BEL.1_1,0,0
2021,04,BEL.2_1,0,0
2021,04,BEL.3_1,0,0
2021,04,BGR.10_1,0,0
2021,04,BGR.11_1,0,0
2021,04,BGR.12_1,0,0
2021,04,BGR.13_1,0,0
2021,04,BGR.14_1,0,0
2021,04,BGR.15_1,0,0
2021,04,BGR.16_1,0,0
2021,04,BGR.17_1,0,0
2021,04,BGR.18_1,0,0
2021,04,BGR.19_1,0,0
2021,04,BGR.1_1,0,0
2021,04,BGR.20_1,0,0
2021,04,BGR.21_1,0,0
2021,04,BGR.22_1,0,0
2021,04,BGR.23_1,0,0
2021,04,BGR.24_1,0,0
2021,04,BGR.25_1,0,0
2021,04,BGR.26_1,0,0
2021,04,BGR.27_1,0,0
2021,04,BGR.28_1,0,0
2021,04,BGR.2_1,0,0
2021,04,BGR.3_1,0,0
2021,04,BGR.4_1,0,0
2021,04,BGR.5_1,0,0
2021,04,BGR.6_1,0,0
2021,04,BGR.7_1,0,0
2021,04,BGR.8_1,0,0
