gid_1,month,year,est,se
ALA.1_2,08,2023,0,0
ALA.2_2,08,2023,0,0
ALA.3_2,08,2023,0,0
ALB.10_1,08,2023,0,0
ALB.11_1,08,2023,0,0
ALB.12_1,08,2023,0,0
ALB.1_1,08,2023,0,0
ALB.2_1,08,2023,0,0
ALB.3_1,08,2023,0,0
ALB.4_1,08,2023,0,0
ALB.5_1,08,2023,0,0
ALB.6_1,08,2023,0,0
ALB.7_1,08,2023,0,0
ALB.8_1,08,2023,0,0
ALB.9_1,08,2023,0,0
AND.2_1,08,2023,0,0
AND.3_1,08,2023,0,0
AND.4_1,08,2023,0,0
AND.5_1,08,2023,0,0
AND.6_1,08,2023,0,0
AND.7_1,08,2023,0,0
ARM.11_1,08,2023,0,0
ARM.1_1,08,2023,0,0
ARM.2_1,08,2023,0,0
ARM.3_1,08,2023,0,0
ARM.4_1,08,2023,0,0
ARM.5_1,08,2023,0,0
ARM.6_1,08,2023,0,0
ARM.9_1,08,2023,0,0
AUT.1_1,08,2023,0,0
AUT.2_1,08,2023,0,0
AUT.3_1,08,2023,0,0
AUT.4_1,08,2023,0,0
AUT.5_1,08,2023,0,0
AUT.6_1,08,2023,0,0
AUT.7_1,08,2023,0,0
AUT.8_1,08,2023,0,0
AUT.9_1,08,2023,0,0
AZE.4_1,08,2023,0,0
AZE.5_1,08,2023,0,0
AZE.7_1,08,2023,0,0
BEL.1_1,08,2023,0,0
BEL.2_1,08,2023,0,0
BEL.3_1,08,2023,0,0
BGR.10_1,08,2023,0,0
BGR.11_1,08,2023,0,0
BGR.12_1,08,2023,0,0
BGR.13_1,08,2023,0,0
BGR.14_1,08,2023,0,0
BGR.15_1,08,2023,0,0
BGR.16_1,08,2023,0,0
BGR.17_1,08,2023,0,0
BGR.18_1,08,2023,0,0
BGR.19_1,08,2023,0,0
BGR.1_1,08,2023,0,0
BGR.20_1,08,2023,0,0
BGR.21_1,08,2023,0,0
BGR.22_1,08,2023,0,0
BGR.23_1,08,2023,0,0
BGR.24_1,08,2023,0,0
BGR.25_1,08,2023,0,0
BGR.26_1,08,2023,0,0
BGR.27_1,08,2023,0,0
BGR.28_1,08,2023,0,0
BGR.2_1,08,2023,0,0
BGR.3_1,08,2023,0,0
BGR.4_1,08,2023,0,0
BGR.5_1,08,2023,0,0
BGR.6_1,08,2023,0,0
BGR.7_1,08,2023,0,0
BGR.8_1,08,2023,0,0
BGR.9_1,08,2023,0,0
BIH.1_1,08,2023,0,0
BIH.2_1,08,2023,0,0
BIH.3_1,08,2023,0,0
BLR.1_1,08,2023,0,0
BLR.2_1,08,2023,0,0
BLR.3_1,08,2023,0,0
BLR.4_1,08,2023,0,0
BLR.5_1,08,2023,0,0
BLR.6_1,08,2023,0,0
BLR.7_1,08,2023,0,0
CHE.10_1,08,2023,0,0
CHE.11_1,08,2023,0,0
CHE.12_1,08,2023,0,0
CHE.13_1,08,2023,0,0
CHE.14_1,08,2023,0,0
CHE.15_1,08,2023,0,0
CHE.16_1,08,2023,0,0
CHE.17_1,08,2023,0,0
CHE.18_1,08,2023,0,0
CHE.19_1,08,2023,0,0
CHE.1_1,08,2023,0,0
CHE.20_1,08,2023,0,0
CHE.21_1,08,2023,0,0
CHE.22_1,08,2023,0,0
CHE.23_1,08,2023,0,0
CHE.24_1,08,2023,0,0
CHE.25_1,08,2023,0,0
CHE.26_1,08,2023,0,0
CHE.2_1,08,2023,0,0
CHE.3_1,08,2023,0,0
CHE.4_1,08,2023,0,0
CHE.5_1,08,2023,0,0
CHE.6_1,08,2023,0,0
CHE.7_1,08,2023,0,0
CHE.8_1,08,2023,0,0
CHE.9_1,08,2023,0,0
CYP.1_1,08,2023,0,0
CYP.2_1,08,2023,0,0
CYP.3_1,08,2023,0,0
CYP.4_1,08,2023,0,0
CYP.5_1,08,2023,0,0
CZE.10_1,08,2023,0,0
CZE.11_1,08,2023,0,0
CZE.12_1,08,2023,0,0
CZE.13_1,08,2023,0,0
CZE.14_1,08,2023,0,0
CZE.1_1,08,2023,0,0
CZE.2_1,08,2023,0,0
CZE.3_1,08,2023,0,0
CZE.4_1,08,2023,0,0
CZE.5_1,08,2023,0,0
CZE.6_1,08,2023,0,0
CZE.7_1,08,2023,0,0
CZE.8_1,08,2023,0,0
CZE.9_1,08,2023,0,0
DEU.10_1,08,2023,0,0
DEU.11_1,08,2023,0,0
DEU.12_1,08,2023,0,0
DEU.13_1,08,2023,0,0
DEU.14_1,08,2023,0,0
DEU.15_1,08,2023,0,0
DEU.16_1,08,2023,0,0
DEU.1_1,08,2023,0,0
DEU.2_1,08,2023,0,0
DEU.3_1,08,2023,0,0
DEU.4_1,08,2023,0,0
DEU.5_1,08,2023,0,0
DEU.6_1,08,2023,0,0
DEU.7_1,08,2023,0,0
DEU.8_1,08,2023,0,0
DEU.9_1,08,2023,0,0
ESP.10_1,08,2023,0,0
ESP.11_1,08,2023,0,0
ESP.12_1,08,2023,0,0
ESP.13_1,08,2023,0,0
ESP.15_1,08,2023,0,0
ESP.16_1,08,2023,0,0
ESP.17_1,08,2023,0,0
ESP.18_1,08,2023,0,0
ESP.1_1,08,2023,0,0
ESP.2_1,08,2023,0,0
ESP.3_1,08,2023,0,0
ESP.4_1,08,2023,0,0
ESP.5_1,08,2023,0,0
ESP.6_1,08,2023,0,0
ESP.8_1,08,2023,0,0
