lon,lat,est,se,month
-0.025,38.625,0,0,07
-0.025,38.65,0,0,07
-0.025,38.7,0,0,07
-0.025,38.725,0,0,07
-0.025,38.75,0,0,07
-0.025,38.775,0,0,07
-0.025,38.8,0,0,07
-0.025,38.824999999999996,0,0,07
-0.025,38.825,0,0,07
-0.025,38.85,0,0,07
-0.025,39.9,0,0,07
-0.025,39.925,0,0,07
-0.025,39.95,0,0,07
-0.025,39.975,0,0,07
-0.025,40,0,0,07
-0.025,40.025,0,0,07
-0.025,40.025000000000006,0,0,07
-0.025,40.05,0,0,07
-0.025,40.074999999999996,0,0,07
-0.025,40.075,0,0,07
-0.025,40.1,0,0,07
-0.025,40.125,0,0,07
-0.025,40.15,0,0,07
-0.025,40.175,0,0,07
-0.025,40.25,0,0,07
-0.025,40.275,0,0,07
-0.025,40.3,0,0,07
-0.025,40.325,0,0,07
-0.025,40.35,0,0,07
-0.025,40.55,0,0,07
-0.025,40.7,0,0,07
-0.025,40.725,0,0,07
-0.025,40.75,0,0,07
-0.025,40.775,0,0,07
-0.025,40.8,0,0,07
-0.025,40.824999999999996,0,0,07
-0.025,40.95,0,0,07
-0.025,40.975,0,0,07
-0.025,41.2,0,0,07
-0.025,41.225,0,0,07
-0.025,41.3,0,0,07
-0.05,38.6,0,0,07
-0.05,38.625,0,0,07
-0.05,38.650000000000006,0,0,07
-0.05,38.7,0,0,07
-0.05,38.725,0,0,07
-0.05,38.75,0,0,07
-0.05,38.775,0,0,07
-0.05,38.8,0,0,07
-0.05,38.824999999999996,0,0,07
-0.05,38.85,0,0,07
-0.05,39.9,0,0,07
-0.05,39.900000000000006,0,0,07
-0.05,39.925,0,0,07
-0.05,39.95,0,0,07
-0.05,39.975,0,0,07
-0.05,40,0,0,07
-0.05,40.025,0,0,07
-0.05,40.025000000000006,0,0,07
-0.05,40.05,0,0,07
-0.05,40.074999999999996,0,0,07
-0.05,40.1,0,0,07
-0.05,40.125,0,0,07
-0.05,40.15,0,0,07
-0.05,40.175,0,0,07
-0.05,40.25,0,0,07
-0.05,40.275,0,0,07
-0.05,40.275000000000006,0,0,07
-0.05,40.3,0,0,07
-0.05,40.375,0,0,07
-0.05,40.7,0,0,07
-0.05,40.725,0,0,07
-0.05,40.75,0,0,07
-0.05,40.775,0,0,07
-0.05,40.775000000000006,0,0,07
-0.05,40.8,0,0,07
-0.05,40.824999999999996,0,0,07
-0.05,40.825,0,0,07
-0.05,40.95,0,0,07
-0.05,40.975,0,0,07
-0.05,41.2,0,0,07
-0.05,41.225,0,0,07
-0.1,38.525,0,0,07
-0.1,38.525000000000006,0,0,07
-0.1,38.55,0,0,07
-0.1,38.574999999999996,0,0,07
-0.1,38.575,0,0,07
-0.1,38.6,0,0,07
-0.1,38.625,0,0,07
-0.1,38.65,0,0,07
-0.1,38.675,0,0,07
-0.1,38.7,0,0,07
-0.1,38.725,0,0,07
-0.1,38.75,0,0,07
-0.1,38.775,0,0,07
-0.1,38.8,0,0,07
-0.1,38.824999999999996,0,0,07
-0.1,38.85,0,0,07
-0.1,38.875,0,0,07
-0.1,38.9,0,0,07
-0.1,38.900000000000006,0,0,07
-0.1,39.85,0,0,07
-0.1,39.875,0,0,07
-0.1,39.9,0,0,07
-0.1,39.925,0,0,07
-0.1,39.95,0,0,07
-0.1,39.975,0,0,07
-0.1,40,0,0,07
-0.1,40.025,0,0,07
-0.1,40.05,0,0,07
-0.1,40.074999999999996,0,0,07
-0.1,40.075,0,0,07
-0.1,40.1,0,0,07
-0.1,40.125,0,0,07
-0.1,40.225,0,0,07
-0.1,40.25,0,0,07
-0.1,40.275,0,0,07
-0.1,40.3,0,0,07
-0.1,40.324999999999996,0,0,07
-0.1,40.6,0,0,07
-0.1,40.625,0,0,07
-0.1,40.65,0,0,07
-0.1,40.675,0,0,07
-0.1,40.75,0,0,07
-0.1,40.775,0,0,07
-0.1,40.95,0,0,07
-0.1,40.975,0,0,07
-0.1,41.2,0,0,07
-0.1,41.225,0,0,07
-0.1,41.25,0,0,07
-0.1,41.275,0,0,07
-0.1,41.3,0,0,07
-0.1,41.324999999999996,0,0,07
-0.1,43.225,0,0,07
-0.125,38.525,0,0,07
-0.125,38.525000000000006,0,0,07
-0.125,38.55,0,0,07
-0.125,38.574999999999996,1.5029769635979384e-13,3.0650406305412016e-13,07
-0.125,38.575,1.5029769635979384e-13,3.0650406305412016e-13,07
-0.125,38.6,0,0,07
-0.125,38.625,0,0,07
-0.125,38.75,0,0,07
-0.125,38.775000000000006,0,0,07
-0.125,38.8,0,0,07
-0.125,38.824999999999996,0,0,07
-0.125,38.825,0,0,07
-0.125,38.9,0,0,07
-0.125,38.900000000000006,0,0,07
-0.125,38.925,0,0,07
-0.125,39.825,0,0,07
-0.125,39.85,0,0,07
-0.125,39.875,0,0,07
-0.125,39.9,0,0,07
-0.125,39.900000000000006,0,0,07
-0.125,39.925,0,0,07
-0.125,39.95,0,0,07
-0.125,39.975,0,0,07
-0.125,40.6,0,0,07
-0.125,40.625,0,0,07
-0.125,40.65,0,0,07
-0.125,40.650000000000006,0,0,07
-0.125,40.9,0,0,07
-0.125,40.900000000000006,0,0,07
-0.125,41,0,0,07
-0.125,41.025,0,0,07
-0.125,41.05,0,0,07
-0.125,41.074999999999996,0,0,07
-0.15,38.525,0,0,07
-0.15000000000000002,38.525000000000006,0,0,07
-0.15,38.55,0,0,07
-0.15000000000000002,38.55,0,0,07
-0.15,38.574999999999996,0,0,07
-0.15000000000000002,38.575,0,0,07
-0.15000000000000002,38.6,0,0,07
-0.15000000000000002,38.625,0,0,07
-0.15,38.8,0,0,07
-0.15,38.824999999999996,0,0,07
-0.15,38.9,0,0,07
-0.15000000000000002,38.900000000000006,0,0,07
-0.15,38.925,0,0,07
-0.15000000000000002,38.925,0,0,07
-0.15000000000000002,38.95,0,0,07
-0.15000000000000002,39.8,0,0,07
-0.15000000000000002,39.825,0,0,07
-0.15,39.85,0,0,07
-0.15000000000000002,39.85,0,0,07
-0.15,39.875,0,0,07
-0.15000000000000002,39.875,0,0,07
-0.15,39.9,0,0,07
-0.15000000000000002,39.900000000000006,0,0,07
-0.15,39.925,0,0,07
-0.15000000000000002,39.925,0,0,07
-0.15,39.95,0,0,07
-0.15000000000000002,39.95,0,0,07
-0.15,39.975,0,0,07
-0.15000000000000002,39.975,0,0,07
-0.15000000000000002,40,0,0,07
-0.15000000000000002,40.45,0,0,07
-0.15,40.6,0,0,07
-0.15000000000000002,40.6,0,0,07
-0.15,40.625,0,0,07
-0.15000000000000002,40.650000000000006,0,0,07
-0.15000000000000002,40.975,0,0,07
-0.15,41,0,0,07
-0.15,41.025,6.234420788416591e-14,1.628045824934836e-13,07
-0.15000000000000002,41.025000000000006,6.234420788416591e-14,1.628045824934836e-13,07
-0.15,41.05,0,0,07
-0.15000000000000002,41.05,0,0,07
-0.15,41.074999999999996,0,0,07
-0.15000000000000002,43.275000000000006,0,0,07
-0.17500000000000002,38.525,0,0,07
-0.17500000000000002,38.525000000000006,0,0,07
-0.17500000000000002,38.55,0,0,07
-0.17500000000000002,38.574999999999996,0,0,07
-0.17500000000000002,38.6,0,0,07
-0.17500000000000002,38.625,0,0,07
-0.17500000000000002,38.65,0,0,07
-0.17500000000000002,38.675,0,0,07
-0.17500000000000002,38.7,0,0,07
-0.17500000000000002,38.725,0,0,07
-0.17500000000000002,38.75,0,0,07
-0.17500000000000002,38.775,0,0,07
-0.17500000000000002,38.8,0,0,07
-0.17500000000000002,38.824999999999996,0,0,07
-0.17500000000000002,38.85,0,0,07
-0.17500000000000002,38.875,0,0,07
-0.17500000000000002,38.9,0,0,07
-0.17500000000000002,38.900000000000006,0,0,07
-0.17500000000000002,38.925,0,0,07
-0.17500000000000002,38.95,0,0,07
-0.17500000000000002,38.975,0,0,07
-0.17500000000000002,39.75,0,0,07
-0.17500000000000002,39.775,0,0,07
-0.17500000000000002,39.8,0,0,07
-0.17500000000000002,39.824999999999996,0,0,07
-0.17500000000000002,39.825,0,0,07
-0.17500000000000002,39.85,0,0,07
-0.17500000000000002,39.875,0,0,07
-0.17500000000000002,39.9,0,0,07
-0.17500000000000002,39.925,0,0,07
-0.17500000000000002,39.95,0,0,07
-0.17500000000000002,39.975,0,0,07
-0.17500000000000002,40,0,0,07
-0.17500000000000002,40.025,0,0,07
-0.17500000000000002,40.025000000000006,0,0,07
-0.17500000000000002,40.05,0,0,07
-0.17500000000000002,40.074999999999996,0,0,07
-0.17500000000000002,40.1,0,0,07
-0.17500000000000002,40.125,0,0,07
-0.17500000000000002,40.15,0,0,07
-0.17500000000000002,40.150000000000006,0,0,07
-0.17500000000000002,40.175,0,0,07
-0.17500000000000002,40.2,0,0,07
-0.17500000000000002,40.225,0,0,07
-0.17500000000000002,40.3,0,0,07
-0.17500000000000002,40.324999999999996,0,0,07
-0.17500000000000002,40.35,0,0,07
-0.17500000000000002,40.375,0,0,07
-0.17500000000000002,40.45,0,0,07
-0.17500000000000002,40.6,0,0,07
-0.17500000000000002,40.625,0,0,07
-0.17500000000000002,40.65,0,0,07
-0.17500000000000002,40.675,0,0,07
-0.17500000000000002,40.8,0,0,07
-0.17500000000000002,40.95,0,0,07
-0.17500000000000002,41,0,0,07
-0.17500000000000002,41.025,0,0,07
-0.17500000000000002,41.05,0,0,07
-0.17500000000000002,41.074999999999996,0,0,07
-0.17500000000000002,41.25,0,0,07
-0.17500000000000002,41.275,0,0,07
-0.17500000000000002,41.45,0,0,07
-0.17500000000000002,41.475,0,0,07
-0.17500000000000002,41.5,0,0,07
-0.17500000000000002,41.525,0,0,07
-0.17500000000000002,43.25,0,0,07
-0.225,38.5,0,0,07
-0.225,38.525,0,0,07
-0.225,38.525000000000006,0,0,07
-0.225,38.55,0,0,07
-0.225,38.574999999999996,0,0,07
-0.225,38.65,0,0,07
-0.225,38.650000000000006,0,0,07
-0.225,38.675,0,0,07
-0.225,38.8,0,0,07
-0.225,38.824999999999996,0,0,07
-0.225,38.85,0,0,07
-0.225,38.875,0,0,07
-0.225,38.9,0,0,07
-0.225,38.925,0,0,07
-0.225,38.95,0,0,07
-0.225,38.975,0,0,07
-0.225,39,0,0,07
-0.225,39.025,0,0,07
-0.225,39.05,0,0,07
-0.225,39.65,0,0,07
-0.225,39.650000000000006,0,0,07
-0.225,39.675,0,0,07
-0.225,39.7,0,0,07
-0.225,39.725,0,0,07
-0.225,39.75,0,0,07
-0.225,39.775,0,0,07
-0.225,39.775000000000006,0,0,07
-0.225,39.8,0,0,07
-0.225,39.824999999999996,0,0,07
-0.225,39.825,0,0,07
-0.225,39.9,0,0,07
-0.225,39.925,0,0,07
-0.225,39.95,0,0,07
-0.225,39.975,0,0,07
-0.225,40.05,0,0,07
-0.225,40.074999999999996,0,0,07
-0.225,40.1,0,0,07
-0.225,40.125,0,0,07
-0.225,40.55,0,0,07
-0.225,40.574999999999996,0,0,07
-0.225,40.6,0,0,07
-0.225,40.625,0,0,07
-0.225,40.65,0,0,07
-0.225,40.675,0,0,07
-0.225,40.75,0,0,07
-0.225,40.775,0,0,07
-0.225,40.8,0,0,07
-0.225,40.824999999999996,0,0,07
-0.225,40.9,0,0,07
-0.225,40.925,0,0,07
-0.225,40.95,0,0,07
-0.225,40.975,0,0,07
-0.225,41,0,0,07
-0.225,41.025,0,0,07
-0.225,41.05,0,0,07
-0.225,41.074999999999996,0,0,07
-0.225,41.45,0,0,07
-0.225,41.475,0,0,07
-0.225,41.5,0,0,07
-0.25,38.5,0,0,07
-0.25,38.525,0,0,07
-0.25,38.525000000000006,0,0,07
-0.25,38.55,0,0,07
-0.25,38.574999999999996,0,0,07
-0.25,38.65,0,0,07
-0.25,38.650000000000006,0,0,07
-0.25,38.675,0,0,07
-0.25,38.8,0,0,07
-0.25,38.824999999999996,0,0,07
-0.25,38.85,0,0,07
-0.25,38.875,0,0,07
-0.25,38.9,0,0,07
-0.25,38.925,0,0,07
-0.25,38.95,0,0,07
-0.25,38.975,0,0,07
-0.25,39,0,0,07
