year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-0.25,38.5,-0.25_38.5,0.09797313756366388,0
2021,10,-0.25,38.550000000000004,-0.25_38.55,0,0
2021,10,-0.25,38.650000000000006,-0.25_38.65,0,0
2021,10,-0.25,38.800000000000004,-0.25_38.8,0,0
2021,10,-0.25,38.85,-0.25_38.85,0,0
2021,10,-0.25,38.900000000000006,-0.25_38.9,0,0
2021,10,-0.25,38.95,-0.25_38.95,0,0
2021,10,-0.25,39,-0.25_39,0,0
2021,10,-0.25,39.050000000000004,-0.25_39.05,0,0
2021,10,-0.25,39.650000000000006,-0.25_39.65,9.990288405471684e-4,0
2021,10,-0.25,39.7,-0.25_39.7,0,0
2021,10,-0.25,39.75,-0.25_39.75,0,0
2021,10,-0.25,39.800000000000004,-0.25_39.8,0,0
2021,10,-0.25,39.900000000000006,-0.25_39.9,0,0
2021,10,-0.25,39.95,-0.25_39.95,0,0
2021,10,-0.25,40.050000000000004,-0.25_40.05,0,0
2021,10,-0.25,40.1,-0.25_40.1,0,0
2021,10,-0.25,40.550000000000004,-0.25_40.55,0,0
2021,10,-0.25,40.6,-0.25_40.6,0,0
2021,10,-0.25,40.650000000000006,-0.25_40.65,0,0
2021,10,-0.25,40.75,-0.25_40.75,0,0
2021,10,-0.25,40.800000000000004,-0.25_40.8,0,0
2021,10,-0.25,40.900000000000006,-0.25_40.9,0,0
2021,10,-0.25,40.95,-0.25_40.95,0,0
2021,10,-0.25,41,-0.25_41,0,0
2021,10,-0.25,41.050000000000004,-0.25_41.05,0,0
2021,10,-0.25,41.45,-0.25_41.45,0,0
2021,10,-0.25,41.5,-0.25_41.5,0,0
2021,10,-0.25,41.6,-0.25_41.6,0,0
2021,10,-0.25,41.75,-0.25_41.75,0,0
2021,10,-0.25,41.95,-0.25_41.95,0,0
2021,10,-0.25,42.1,-0.25_42.1,0,0
2021,10,-0.25,42.35,-0.25_42.35,0,0
2021,10,-0.25,42.6,-0.25_42.6,0,0
2021,10,-0.25,42.75,-0.25_42.75,0,0
2021,10,-0.25,44.550000000000004,-0.25_44.55,0,0
2021,10,-0.25,44.900000000000006,-0.25_44.9,0,0
2021,10,-0.25,44.95,-0.25_44.95,0,0
2021,10,-0.25,48.85,-0.25_48.85,0,0
2021,10,-0.25,48.900000000000006,-0.25_48.9,0,0
2021,10,-0.25,48.95,-0.25_48.95,0,0
2021,10,-0.5,38.35,-0.5_38.35,0,0
2021,10,-0.5,38.400000000000006,-0.5_38.4,0,0
2021,10,-0.5,38.45,-0.5_38.45,0,0
2021,10,-0.5,38.5,-0.5_38.5,0,0
2021,10,-0.5,38.550000000000004,-0.5_38.55,0,0
2021,10,-0.5,38.6,-0.5_38.6,0,0
2021,10,-0.5,38.650000000000006,-0.5_38.65,0,0
2021,10,-0.5,38.7,-0.5_38.7,0,0
2021,10,-0.5,38.75,-0.5_38.75,0,0
2021,10,-0.5,38.800000000000004,-0.5_38.8,0,0
2021,10,-0.5,38.85,-0.5_38.85,0,0
2021,10,-0.5,38.900000000000006,-0.5_38.9,0,0
2021,10,-0.5,38.95,-0.5_38.95,0.9920634643714856,0
2021,10,-0.5,39,-0.5_39,0,0
2021,10,-0.5,39.050000000000004,-0.5_39.05,0.0019821447839590126,0
2021,10,-0.5,39.1,-0.5_39.1,0,0
2021,10,-0.5,39.150000000000006,-0.5_39.15,0,0
2021,10,-0.5,39.2,-0.5_39.2,0,0
2021,10,-0.5,39.25,-0.5_39.25,0,0
2021,10,-0.5,39.300000000000004,-0.5_39.3,0,0
2021,10,-0.5,39.35,-0.5_39.35,0,0
2021,10,-0.5,39.400000000000006,-0.5_39.4,0,0
2021,10,-0.5,39.45,-0.5_39.45,0.002973217178411434,0
2021,10,-0.5,39.5,-0.5_39.5,9.910723919795063e-4,0
2021,10,-0.5,39.550000000000004,-0.5_39.55,9.910724336172755e-4,0
2021,10,-0.5,39.6,-0.5_39.6,0,0
2021,10,-0.5,39.650000000000006,-0.5_39.65,0,0
2021,10,-0.5,39.7,-0.5_39.7,0,0
2021,10,-0.5,39.800000000000004,-0.5_39.8,0,0
2021,10,-0.5,39.85,-0.5_39.85,0,0
2021,10,-0.5,39.900000000000006,-0.5_39.9,0,0
